"CPCv2.1","Code","ISSCAAP","ISSCFC_Parent","Identifier","Name_En","Name_Es","Name_Fr","Observations","SITCv4"
"429","034.1.5.3.36","33","034.1.5.3","51","Croakers, fresh or chilled","Esciénidos, frescos o refrigerados","Sciaenidés, frais ou réfrigérés","true","034.18"
"429","034.1.5.3.461","33","034.1.5.3","52","Seabreams nei, fresh or chilled","Pargos nep, frescos o refrigerados","Pagres nca, frais ou réfrigérés","true","034.18"
"429","034.1.5.4.41","34","034.1.5.4","53","Atlantic redfishes, fresh or chilled","Gallinetas del Atlántico, frescas o refrigeradas","Sébastes de l'Atlantique, frais ou réfrigérés","true","034.18"
"429","034.1.5.3.90","33","034.1.5.3","54","Miscellaneous coastal fishes,nei, fresh or chilled","Peces costeros diversos,nep, frescos o refrigerados","Poissons côtiers divers, nca, frais ou réfrigérés","true","034.18"
"426","034.1.5.7.02","37","034.1.5.7","55","Saury, fresh or chilled","Paparda, fresca o refrigerada","Balaou, frais ou réfrigéré","true","034.18"
"426","034.1.5.7.70","37","034.1.5.7","56","Jack and horse mackerels, fresh or chilled","Jureles, frescos o refrigerados","Chinchards noirs, frais ou réfrigérés","true","034.18"
"21232","035.03.4.3.50","23","035.03.4.3","57","Trouts and chars, smoked","Truchas, ahumadas","Truites et ombles, fumés","true","035.3"
"429","034.1.5.4.90","34","034.1.5.4","58","Miscellaneous demersal fish,nei, fresh or chilled","Peces demersales diversos, nep, frescos o refrigerados","Poissons démersaux divers, nca, frais ou réfrigérés","true","034.18"
"426","034.1.5.5.11","35","034.1.5.5","59","Atlantic herring, fresh or chilled","Arenque del Atlántico, fresco o refrigerado","Hareng de l'Atlantique, frais ou réfrigéré","true","034.15"
"426","034.1.5.5.12","35","034.1.5.5","60","Pacific herring, fresh or chilled","Arenque del Pacífico, fresco o refrigerado","Hareng du Pacifique, frais ou réfrigéré","true","034.15"
"426","034.1.5.5.19","35","034.1.5.5","61","Herrings, fresh or chilled, nei","Arenques, frescos o refrigerados, nep","Harengs, frais ou réfrigérés, nca","true","034.15"
"426","034.1.5.5.40","35","034.1.5.5","62","European sardine , fresh or chilled","Sardina europea, fresca o refrigerada","Sardine d'Europe, fraîche ou réfrigérée","true","034.15"
"426","034.1.5.5.29","35","034.1.5.5","63","Pilchards(Sardinops spp.) and Sardinellas, fresh or chilled","Sardinas (Sardinops spp.) y sardinelas, frescas o refrigeradas","Pilchards(Sardinops spp.)et sardinelles, frais ou réfrigérés","true","034.15"
"426","034.1.5.5.50","35","034.1.5.5","64","Brisling or sprats, fresh or chilled","Espadines, frescos o refrigerados","Sprats ou esprots, frais ou réfrigérés","true","034.15"
"426","034.1.5.5.60","35","034.1.5.5","65","Anchovies (Engraulis spp), fresh or chilled","Anchoas, frescas o refrigeradas","Anchois, frais ou réfrigérés","true","034.18"
"426","034.1.5.5.90","35","034.1.5.5","66","Clupeoids, fresh or chilled, nei","Clupeidos, frescos o refrigerados, nep","Clupeoïdes, frais ou réfrigérés, nca","true","034.15"
"","034.1.5.2","","034.1.5","67","Cods, hakes, haddocks, fresh or chilled","Bacalaos, merluzas, eglefinos, frescos o refrigerados","Morues, merlus, églefins, frais ou réfrigérés","false",""
"","034.1.5.3","","034.1.5","68","Miscellaneous coastal fish, fresh or chilled","Peces costeros diversos, frescos o refrigerados","Poissons côtiers divers, frais ou réfrigérés","false",""
"","034.1.5.4","","034.1.5","69","Miscellaneous demersal fish, fresh or chilled","Peces demersales diversos, frescos o refrigerados","Poissons démersaux divers, frais ou réfrigérés","false",""
"","034.1.5.5","","034.1.5","70","Herrings, sardines, anchovies, fresh or chilled","Arenques, sardinas, anchoas, frescos o refrigerados","Harengs, sardines, anchois, frais ou réfrigérés","false",""
"411","034.1.1.1.19","39","034.1.1.1","71","Ornamental fish nei","Peces ornamentales, nep","Poissons d'ornement, nca","true","034.11"
"429","034.1.2.1.20","22","034.1.2.1","72","Eels and elvers live","Anguilas y angulas, vivas","Anguilles et civelles vivantes","true","034.11"
"424","034.1.5.2.19","32","034.1.5.2","73","Cods, fresh or chilled, nei","Bacalaos, frescos o refrigerados, nep","Morues, fraîches ou réfrigérées, nca","true","034.16"
"426","034.1.5.7.75","37","034.1.5.7","74","Amberjacks, fresh or chilled","Peces limón, frescos o refrigerados","Serioles, fraîches ou réfrigérées","true","034.18"
"21223","034.4.4.1.4.2.39","23","034.4.4.1.4.2","75","Salmon steaks, frozen","Salmón cortado en trozos, congelado","Tranches de saumon, congelées","true","034.55"
"21223","034.4.4.1.5.1.19","31","034.4.4.1.5.1","76","Halibut steaks, frozen","Halibut cortado en trozos, congelado","Tranches de flétan, congelées","true","034.55"
"21223","034.4.4.1.5.1.90","31","034.4.4.1.5.1","77","Flatfish steaks, frozen, nei","Peces planos cortados en trozos, congelados, nep","Tranches de poissons plats, congelées, nca","true","034.55"
"21223","034.4.4.2.5.2.68","32","034.4.4.2.5.2","78","Hake minced, frozen","Merluza picada, congelada","Merlus hachés, congelés","true","034.55"
"21216","034.2.5.7.62","37","034.2.5.7","79","Atlantic mackerel, frozen","Caballa del Atlántico, congelada","Maquereau de l'Atlantique, congelé","true","034.26"
"21223","034.4.4.1.5.9.90","39","034.4.4.1.5.9","80","Fish steaks, frozen, nei","Peces cortados en trozos, congelados, nep","Tranches de poissons, congelées, nca","true","034.55"
"21223","034.4.4.2.5.9.91","39","034.4.4.2.5.9","81","Fish minced (=surimi), frozen","Pescado desmenuzado (=surimi), congelado","Poisson haché (=surimi), congelé","true","034.55"
"","035.02","","035","82","Fish, dried, salted or in brine","Pescado, seco, salado o en salmuera","Poissons, séchés, salés ou en saumure","false",""
"","035.02.1","","035.02","83","Fish dried, whether or not salted, but not smoked","Pescado, seco, incluso salado, sin ahumar","Poissons, séchés, même salés, mais non fumés","false",""
"21242","037.1.1.5.7.02","37","037.1.1.5.7","85","Pacific sauries prepared or preserved, not minced","Paparda del Pacífico, no picada, prep. y cons.","Balaou du Japon non haché, prép. et cons.","true","037.15"
"21242","037.1.1.5.5.601","35","037.1.1.5.5","86","Anchovies fillets, prepared or preserved","Anchoas en filetes, prep. y cons.","Anchois en filets, prép. et cons.","true","037.15"
"21242","037.1.1.6.93","39","037.1.1.6","87","Fish products (not minced), semi-preserved","Semiconservas de productos de pescado, no picado","Produits de poisson non haché, semi-conservés","true","037.15"
"","035.02.1.5","","035.02.1","88","Marine fishes, dried, whether or not salted","Pescado marino, seco, incluso salado, sin ahumar","Poissons marins, séchés, même salés, mais non fumés","false",""
"424","034.1.5.2.70","32","034.1.5.2","89","Ling, fresh or chilled","Maruca, fresca o refrigerada","Lingue, fraîche ou réfrigérée","true","034.18"
"424","034.1.5.2.80","32","034.1.5.2","90","Tusk, fresh or chilled","Brosmio, fresco o refrigerado","Brosme, frais ou réfrigéré","true","034.18"
"429","034.1.5.4.12","34","034.1.5.4","91","Snoek, fresh or chilled","Sierra, fresca o refrigerada","Thyrsite, frais ou réfrigéré","true","034.18"
"21213","034.2.5.1.50","31","034.2.5.1","92","Flounder, frozen","Platija, congelada","Flet, congelé","true","034.22"
"21214","034.2.5.2.80","32","034.2.5.2","93","Tusk, frozen","Brosmio, congelado","Brosme, congelé","true","034.28"
"21214","034.2.5.2.70","32","034.2.5.2","94","Ling, frozen","Maruca, congelada","Lingue, congelée","true","034.28"
"21216","034.2.5.7.08","37","034.2.5.7","95","Pomfrets, ocean breams, frozen","Japutas, congeladas","Castagnoles, congelées","true","034.28"
"21216","034.2.5.6.10","36","034.2.5.6","96","Bonito, frozen","Bonito, congelado","Bonite, congelé","true","034.23"
"21219","034.2.5.4.12","34","034.2.5.4","97","Snoek, frozen","Sierra, congelada","Thyrsite, congelé","true","034.28"
"21226","034.2.9.1.21","32","034.2.9.1","98","Cod roes, frozen","Huevas de merluza, congeladas","Rogues de morue, congelées","true","034.29"
"21226","034.2.9.1.22","32","034.2.9.1","99","Alaska pollock, roes, frozen","Huevas de colín de Alaska, congeladas","Rogues de lieu d'Alaska, congelées","true","034.29"
"21226","034.2.9.1.23","37","034.2.9.1","100","Capelin roes, frozen","Huevas de capelán, congeladas","Rogues de capelan, congelées","true","034.29"
"21226","034.2.9.1.24","35","034.2.9.1","101","Herring roes, frozen","Huevas de arenque, congeladas","Rogues de hareng, congelées","true","034.29"
"21226","034.2.9.1.26","23","034.2.9.1","102","Salmon roes, frozen","Huevas de salmón, congeladas","Rogues de saumon, congelées","true","034.29"
"","034.3.1.5.4","","034.3.1.5","103","Miscellaneous demersal fish, fillets, fresh or chilled","Peces demersales diversos en filetes, frescos o refrigerados","Filets de poissons démersaux divers, frais ou réfrigérés","false",""
"21221","034.3.1.5.4.90","34","034.3.1.5.4","104","Miscellaneous demersal fish, fillets, fresh or chilled, nei,","Peces demersales diversos en filetes,nep, frescos o refrigerados","Filets de poissons démersaux divers,nca, frais ou réfrigérés","true","034.51"
"","034.3.1.4.2","","034.3.1.4","105","River eel fillets, fresh or chilled","Filetes de anguilla, frescos o refrigerados","Filets d'anguille, frais ou réfrigérés","false",""
"21221","034.3.1.4.2.10","22","034.3.1.4.2","106","River eel fillets, fresh or chilled, nei","Filetes de anguilla, frescos o refrigerados, nep","Filets d'anguille, frais ou réfrigérés, nca","true","034.51"
"","034.4.1.4.2","","034.4.1.4","107","River eel fillets, frozen","Filetes de anguila, congelados","Filets d'anguille, congelés","false",""
"21222","034.4.1.4.2.10","22","034.4.1.4.2","108","River eel fillets, frozen, nei","Filetes de anguila, congelados, nep","Filets d'anguille, congelés, nca","true","034.4"
"21222","034.4.1.4.3.391","23","034.4.1.4.3","109","Salmon fillets, frozen","Salmón en filetes, congelado","Filets de saumon, congelés","true","034.4"
"425","034.1.5.6.20","36","034.1.5.6","112","Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), fresh or chilled","Listados (bonitos de vientre rayado) (Katsuwonus pelamis), frescos o refrigerados","Listaos (bonites à ventre rayé) (Katsuwonus pelamis), frais ou réfrigérés","true","034.14"
"425","034.1.5.6.30","36","034.1.5.6","113","Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, fresh or chilled","Atún rojo delAtlántico(T.thynnus) y atun aleta azul Pacifico(T.orientalis)frescos o refrig.","Thon rouge de l'Atlant.(Thunnus thynnus)et t.bleu du Pacifique(T.orientalis)frais ou réfrig.","true","034.14"
"425","034.1.5.6.40","36","034.1.5.6","114","Albacore (=Longfin tuna), fresh or chilled","Atún blanco, fresco o refrigerado","Germon (=Thon blanc), frais ou réfrigéré","true","034.14"
"425","034.1.5.6.50","36","034.1.5.6","115","Yellowfin tuna, fresh or chilled","Rabil, fresco o refrigerado","Thon albacore, frais ou réfrigéré","true","034.14"
"425","034.1.5.6.60","36","034.1.5.6","116","Bigeye tuna, fresh or chilled","Patudo, fresco o refrigerado","Thon obèse (=Patudo), frais ou réfrigéré","true","034.14"
"426","034.1.5.6.80","36","034.1.5.6","117","Swordfish, fresh or chilled","Pez espada, fresco o refrigerado","Espadon, frais ou réfrigéré","true","034.18"
"425","034.1.5.6.90","36","034.1.5.6","118","Tunas, fresh or chilled, nei","Atunes, frescos o refrigerados, nep","Thons, frais ou réfrigérés, nca","true","034.14"
"429","034.1.5.4.13","34","034.1.5.4","119","Hairtails, fresh or chilled","Sables, frescos o refrigerados","Poissons-sabres, frais ou réfrigérés","true","034.18"
"426","034.1.5.7.61","37","034.1.5.7","120","Chub mackerel, fresh or chilled","Estornino, fresco o refrigerado","Maquereau espagnol, frais ou réfrigéré","true","034.17"
"426","034.1.5.7.69","37","034.1.5.7","121","Mackerels, nei, fresh or chilled","Caballas, nep, frescas o refrigeradas","Maquereaux, nca, frais ou réfrigérés","true","034.17"
"429","034.1.5.8.70","38","034.1.5.8","122","Sharks nei, fresh or chilled","Tiburones, frescos o refrigerados","Requins nca, frais ou réfrigérés","true","034.18"
"429","034.1.5.8.90","38","034.1.5.8","123","Sharks, rays, skates, fresh or chilled, nei","Tiburones, rayas, quimeras, frescos o refrigerados, nep","Requins, raies, chimères, frais ou réfrigérés, nca","true","034.18"
"429","034.1.5.9.90","39","034.1.5.9","124","Marine fish, fresh or chilled, nei","Peces marinos, frescos o refrigerados, nep","Poissons marins, frais ou réfrigérés, nca","true","034.18"
"21225","034.1.9.1.10","39","034.1.9.1","125","Fish livers, fresh or chilled","Hígados de pescado, frescos o refrigerados","Foies de poisson, frais ou réfrigérés","true","034.19"
"21225","034.1.9.1.20","39","034.1.9.1","126","Fish roes, fresh or chilled","Huevas de pescado, frescas o refrigeradas","Rogues de poisson, fraîches ou réfrigérées","true","034.19"
"21225","034.1.9.1.90","39","034.1.9.1","127","Livers, roes, milt, fresh or chilled, nei","Hígados, huevas y lechas de pescado, frescos o refrigerados, nep","Foies, rogues, laitance, frais ou réfrigérés, nca","true","034.19"
"21211","034.2.3.1.10","11","034.2.3.1","128","Carps, frozen","Carpa, congelada","Carpes, congelées","true","034.28"
"21211","034.2.3.9.30","13","034.2.3.9","129","Catfish, frozen","Bagre, congelado","Barbottes, congelées","true","034.28"
"21223","034.4.4.1.3.9.30","13","034.4.4.1.3.9","130","Catfish steaks, frozen","Bagre cortado en trozos, congelado","Tranches de barbottes, congelées","true","034.55"
"21211","034.2.3.9.90","13","034.2.3.9","131","Freshwater fish nei, frozen","Peces de agua dulce nep, congelados","Poissons d'eau douce nca, congelés","true","034.28"
"21219","034.2.4.2.10","22","034.2.4.2","132","Eels, frozen","Anguilas, congeladas","Anguilles, congelées","true","034.28"
"21212","034.2.4.3.10","23","034.2.4.3","133","Whitefishes, frozen","Corégono, congelado","Corégones, congelés","true","034.21"
"21212","034.2.4.3.20","23","034.2.4.3","134","Atlantic salmon and Danube salmon, frozen","Salmón del Atlántico y salmón del Danubio, congelados","Saumon de l'Atlantique et saumon du Danube, congelés","true","034.21"
"21212","034.2.4.3.39","23","034.2.4.3","136","Salmons nei, frozen","Salmones nep, congelados","Saumons nca, congelés","true","034.21"
"","034.1.5.6","","034.1.5","137","Tunas, bonitos, billfishes, fresh or chilled","Atunes, bonitos, agujas, frescos o refrigerados","Thons, pélamides, marlins, frais ou réfrigérés","false",""
"","034.1.5.7","","034.1.5","138","Miscellaneous pelagic fish, fresh or chilled","Peces pelágicos diversos, frescos o refrigerados","Poissons pélagiques divers, frais ou réfrigérés","false",""
"","034.1.5.8","","034.1.5","139","Sharks, rays, chimaeras, fresh or chilled","Tiburones, rayas, quimeras, frescos o refrigerados","Requins, raies, chimères, frais ou réfrigérés","false",""
"","034.1.5.9","","034.1.5","140","Miscellaneous marine fish, fresh or chilled","Peces marinos diversos, frescos o refrigerados","Poissons marins divers, frais ou réfrigérés","false",""
"","034.1.9.1","","034.1.9","141","Fish livers, roes, etc., fresh or chilled","Hígados, huevas, etc. de pescado, frescos o refrigerados","Foies, rogues, etc. de poissons, frais ou réfrigérés","false",""
"","034.2.3.1","","034.2.3","142","Carps, barbels and other cyprinids, frozen","Carpas, barbos y otros ciprínidos, congelados","Carpes, barbeaux et autres cyprinides, congelés","false",""
"","034.2.3.9","","034.2.3","143","Miscellaneous freshwater fish, frozen","Peces de agua dulce diversos, congelados","Poissons d'eau douce divers, congelés","false",""
"","034.2.4.2","","034.2.4","144","River eels, frozen","Anguilas, congeladas","Anguilles, congelées","false",""
"","034.2.4.3","","034.2.4","145","Salmons, trouts, smelts, frozen","Salmones, truchas, eperlanos, congelados","Saumons, truites, éperlans, congelés","false",""
"","034.1.9","","034.1","146","Miscellaneous fish products, fresh or chilled","Productos de pescado diversos, frescos o refrigerados","Produits divers de poisson, frais ou réfrigérés","false",""
"","034.2","","034","147","Fish, frozen (excluding fillets)","Pescado, congelado (excepto filetes)","Poissons congelés (non compris les filets)","false",""
"","034.2.3","","034.2","148","Freshwater fish, frozen","Peces de agua dulce, congelados","Poissons d'eau douce, congelés","false",""
"","034.2.4","","034.2","149","Diadromous fish, frozen","Peces diádromos, congelados","Poissons diadromes, congelés","false",""
"21212","034.2.4.3.50","23","034.2.4.3","150","Trouts and chars, frozen","Truchas, congeladas","Truites et ombles, congelés","true","034.21"
"21212","034.2.4.3.60","23","034.2.4.3","151","Smelts, frozen","Eperlanos, congelados","Éperlans, congelés","true","034.21"
"21212","034.2.4.3.90","23","034.2.4.3","152","Salmonoids, frozen","Salmónidos, congelados","Salmonoïdes, congelés","true","034.21"
"21213","034.2.5.1.11","31","034.2.5.1","153","Atlantic halibut, frozen","Halibut del Atlántico, congelado","Flétan de l'Atlantique, congelé","true","034.22"
"21213","034.2.5.1.12","31","034.2.5.1","154","Pacific halibut, frozen","Halibut del Pacífico, congelado","Flétan du Pacifique, congelé","true","034.22"
"21213","034.2.5.1.13","31","034.2.5.1","155","Greenland halibut, frozen","Halibut negro, congelado","Flétan noir, congelé","true","034.22"
"21213","034.2.5.1.19","31","034.2.5.1","156","Halibuts nei, frozen","Halibuts nep, congelados","Flétans nca, congelés","true","034.22"
"21213","034.2.5.1.39","31","034.2.5.1","157","Plaices, frozen, nei","Sollas, congeladas, nep","Plies, congelées, nca","true","034.22"
"21213","034.2.5.1.49","31","034.2.5.1","158","Soles (Solea spp), frozen, nei","Lenguados, congelados, nep","Soles, congelées, nca","true","034.22"
"21213","034.2.5.1.90","31","034.2.5.1","159","Flatfish nei, frozen","Peces planos nep, congelados","Poissons plats nca, congelés","true","034.22"
"21232","035.03.4.3.90","23","035.03.4.3","160","Salmonoids nei, smoked","Salmónidos, ahumados","Salmonoïdes, fumés","true","035.3"
"21214","034.2.5.2.11","32","034.2.5.2","161","Atlantic cod, frozen","Bacalao del Atlántico, congelado","Morue de l'Atlantique, congelée","true","034.25"
"21214","034.2.5.2.12","32","034.2.5.2","162","Pacific cod, frozen","Bacalao del Pacífico, congelado","Morue du Pacifique, congelée","true","034.25"
"21214","034.2.5.2.19","32","034.2.5.2","163","Cods nei, frozen","Bacalaos nep, congelados","Morues nca, congelées","true","034.25"
"21214","034.2.5.2.30","32","034.2.5.2","164","Haddock, frozen","Eglefino, congelado","Églefin, congelé","true","034.28"
"21214","034.2.5.2.40","32","034.2.5.2","165","Saithe (=Pollock), frozen","Carbonero (=Colín), congelado","Lieu noir, congelé","true","034.28"
"21214","034.2.5.2.45","32","034.2.5.2","166","Alaska pollock, frozen","Colín de Alaska, congelado","Lieu de l'Alaska, congelé","true","034.28"
"21214","034.2.5.2.53","32","034.2.5.2","167","Whiting, frozen","Merlán (=Plegonero), congelado","Merlan, congelé","true","034.28"
"21214","034.2.5.2.90","32","034.2.5.2","169","Gadiformes nei, frozen","Gadiformes nep, congelados","Poissons gadiformes nca, congelés","true","034.28"
"21219","034.2.5.3.22","33","034.2.5.3","170","Seabass, frozen","Meros, chernas, etc., congelados","Serranides, congelés","true","034.28"
"21219","034.2.5.3.24","33","034.2.5.3","171","Snappers, frozen","Lutjánidos, congelados","Lutianides, congelés","true","034.28"
"21219","034.2.5.3.36","33","034.2.5.3","172","Croakers, frozen","Esciénidos, congelados","Sciaenidés, congelés","true","034.28"
"21219","034.2.5.3.46","33","034.2.5.3","173","Seabreams, frozen","Espáridos, congelados","Sparides, congelés","true","034.28"
"21219","034.2.5.4.09","34","034.2.5.4","174","Wolffishes (=Catfishes), frozen","Perritos del norte, congelados","Loups, congelés","true","034.28"
"21219","034.2.5.4.11","34","034.2.5.4","175","Cusk-eel (=kingklip), frozen","Rosadas, congeladas","Abadèches, congelés","true","034.28"
