FAOSTAT_Code,Identifier,Name_En,Name_Es,Name_Fr
1549,72053,"Marine fish nei, liver oils","Peces marinos nep, aceite higado","Poissons marins nca, huile de foie"
1550,72054,"Marine fish nei, meal from offal","Peces marinos nep, harina despojos","Poissons marins nca, farine d'abats"
1551,72055,"Marine fish nei, dried, salted","Peces marinos nep, secos, salados","Poissons marins nca, séchés, salés"
1552,72056,"Marine fish nei, smoked","Peces marinos nep, ahumados","Poissons marins nca, fumés"
1553,72058,"Crustaceans, fresh","Crustáceos, frescos","Crustacés, frais"
1554,72059,"Crustaceans, frozen","Crustáceos, congelados","Crustacés, congelés"
1555,72060,"Crustaceans, cured","Crustáceos, curados","Crustacés, séchés, salés, fumés"
1556,72061,"Crustaceans, canned",Crustáceos en conserva,Crustacés en conserve
1557,72062,"Crustaceans, preparations nei","Crustáceos, preparaciones nep","Crustacés, préparations nca"
1558,72063,"Crustaceans, meals","Crustáceos, harina","Crustacés, farine"
1559,72064,"Crustaceans, meal from offal","Crustáceos, harina despojos","Crustacés, farine d'abats"
1560,72065,"Marine fish nei, fermented","Peces marinos nep, fermentados","Poissons marins nca, fermentés"
1561,72066,"Marine fish nei, cakes, sausages","Peces marinos nep, pasteles, embutidos","Poissons marins nca, tourteaux, saucisses"
1562,72068,"Molluscs excl. cephalopods, fresh","Moluscos sin cefalópodos, frescos","Mollusques excl. cephalopodes, frais"
1563,72069,"Molluscs excl. ceph., frozen","Moluscos sin cefal., congelados","Mollusques excl. ceph., congelés"
1564,72070,"Molluscs excl. ceph., cured","Moluscos sin cefal., curados","Mollusques excl. ceph., séchés, salés, fumés"
1565,72071,"Molluscs excl. ceph., canned",Moluscos sin cefal. en conserva,Mollusques excl. ceph. en conserve
1566,72072,"Molluscs excl. ceph., meals","Moluscos sin cefal., harina","Mollusques excl. ceph., farine"
1567,72073,"Molluscs excl. ceph., meal from offal","Moluscos sin cefal., harina despojos","Mollusques excl. ceph., farine d'abats"
1568,72074,"Molluscs, schucked","Moluscos, desconchados","Mollusques, écossés"
1569,72075,"Marine fish, sauce","Peces marinos nep, salsa","Poissons marins nca, sauce"
1570,72077,"Cephalopods, fresh","Cefalópodos, frescos","Cephalopodes, frais"
1571,72078,"Cephalopods, frozen","Cefalópodos, congelados","Cephalopodes, congelés"
1572,72079,"Cephalopods, cured","Cefalópodos, curados","Cephalopodes, séchés, salés, fumés"
1573,72080,"Cephalopods, canned",Cefalópodos en conserva,Cephalopes en conserve
1574,72081,"Cephalopods, preparations nei","Cefalópodos, elaborationes nep","Cephalopes, préparations nca"
1575,72082,"Cephalopods, meals","Cefalópodos, harina","Cephalopodes, farine"
1576,72083,"Cephalopods, meal from offal","Cefalópodos, harina despojos","Cephalopods, farine d'abats"
1577,72084,"Small pelagics, soluble","Pequenos pelágicos, solubles",Petits pélagiques solubilisés
1578,72085,"Marine fish nei, solubles","Peces marinos nep, solubles",Poissons marins nca solubilisés
1579,72087,Aquatic mammals,Mamíferos acuáticos,Mammifères aquatiques
1580,72088,"Aquatic mammals, meat","Mamíferos acuáticos, carne","Mammifères aquatiques, viande"
1581,72089,"Aquatic mammals, meals","Mamíferos acuáticos, harina","Mammifères aquatiques, farine"
1582,72090,"Aquatic mammals, oils","Mamíferos acuáticos, aceite","Mammifères aquatiques, huile"
1583,72091,"Aquatic mammals, preparations nei","Mamíferos acuáticos, preparaciones nep","Mammifères aquatiques, préparations nca"
1584,72092,"Aquatic mammals, meal from offal","Mamíferos acuáticos, harina despojos","Mammifères aquatiques, farine d'abats"
1585,72093,"Freshwater, live","Peces de agua dulce, vivos","Poissons d'eau douce, vivants"
1586,72094,Ornamental freshwater fish,Peces ornamentales de agua dulce,Poissons d'ornement d'eau douce
1587,72096,"Aquatic animals nei, fresh","Aninales acuáticos nep, frescos","Animales aquatiques nca, frais"
1588,72097,"Aquatic animals nei, cured","Aninales acuáticos nep, curados","Animales aquatiques nca, séchés, salés, fumés"
1589,72098,"Aquatic animals nei, meals","Aninales acuáticos nep, harina","Animales aquatiques nca, farine"
1590,72099,"Aquatic animals nei, preparations nei","Aninales acuáticos nep, preparaciones nep","Animales aquatiques nca, préparations nca"
1591,72100,"Aquatic animals nei, meal from offal","Aninales acuáticos, harina despojos","Animales aquatiques, farine d'abats"
1592,72101,"Molluscs, live","Moluscos, vivos","Mollusques, vivants"
1593,72102,Krill,Krill,Krill
1594,72104,Aquatic plants,Plantas acuáticas,Plantes aquatiques
1595,72105,"Aquatic plants, dried","Plantas acuáticas, secas","Plantes aquatiques, séchées"
1596,72106,"Aquatic plants, preparations nei","Plantas acuáticas, preparaciones nep","Plantes aquatiques, préparations nca"
1597,72107,"Small Pelagics, flour","Pequenos pelágicos, harina","Petits pélagiques, farine"
1598,72108,Guano,Guano,Guano
1599,72109,"Fishery, total value","Pescado, valor total","Pêches, valeur totale"
