Identifier,Name_En,Name_Es,Name_Fr,Yearbook_Code
41025,"Herrings, fresh or chilled","Arenques, frescos o refrigerados","Harengs, frais ou réfrigérés",025
41026,"Sardines, sardinellas, brisling or sprats, fresh or chilled","Sardinas, sardinellas, espadines, frescos o refrigerados","Sardines, sardinelles, sprats ou esprots, frais ou réfrigérés",026
41027,"Clupeoids, other fresh or chilled","Clupeoideos, otros frescos o refrigerados","Clupéoidés, autres frais ou réfrigérés",027
41028,"Skipjack or bonito, fresh or chilled","Listados o bonitos, frescos o refrigerados","Listaos ou bonites, frais ou réfrigérés",028
41029,"Albacore (=longfin tuna), fresh or chilled","Atún blanco, fresco o refrigerado","Germon (=Thon blanc), frais ou réfrigéré",029
41030,"Yellowfin tuna, fresh or chilled","Rabil, fresco o refrigerado","Thon albacore, frais ou réfrigéré",030
41031,"Tunas, other, and tuna-like fishes, fresh or chilled","Atunes, otros, y peces parecidos a los atunes, frescos o refrigerados","Thons, autres et poissons type thon, frais ou réfrigérés",031
41032,"Mackerels, fresh or chilled","Caballas, frescas o refrigeradas","Maquereaux, frais ou réfrigérés",032
41033,"Jack and horse mackerel, fresh or chilled","Jureles, frescos o refrigerados","Chinchards noirs, frais ou réfrigérés",033
41034,"Pelagic fishes, other fresh or chilled","Peces pelágicos, otros frescos o refrigerados","Poissons pélagiques, autres frais ou réfrigérés",034
41035,"Sharks, rays, chimaeras, fresh or chilled","Tiburones, rayas, quimeras, frescos o refrigerados","Squales, raies, chimères, frais ou réfrigérés",035
41036,"Livers, roes, fresh or chilled","Hígados, huevas, frescos o refrigerados","Foies, oeufs, frais ou réfrigérés",036
41037,"Miscellaneous fishes, fresh or chilled","Peces diversos, frescos o refrigerados","Poissons divers, frais ou réfrigérés",037
41038,"Freshwater fishes, frozen","Peces de agua dulce, congelados","Poissons d'eau douce, congelés",038
41039,"Eels, frozen","Anguilas, congeladas","Anguilles, congelées",039
41040,"Atlantic and Danube salmon, frozen","Salmón del Atlántico y del Danubio, congelado","Saumon de l'Atlantique et du Danube, congelé",040
41041,"Salmon, Pacific, frozen","Salmón del Pacífico, congelado","Saumon du Pacifique, congelé",041
41042,"Trouts, frozen","Truchas, congeladas","Truites, congelées",042
41043,"Salmonidae, other frozen","Salmónidos, otros congelados","Salmonidés, autres congelés",043
41044,"Halibut, frozen","Halibut, congelado","Flétan, congelé",044
41045,"Plaice, European frozen","Solla Europea, congelada","Plie d'Europe, congelée",045
41046,"Common sole, frozen","Lenguado, congelado","Sole commune, congelée",046
41047,"Flatfishes, other frozen","Peces planos, otros congelados","Poissons plats, autres congelés",047
41048,"Cods, frozen","Bacalaos, congelados","Morues, congelées",048
41049,"Haddock, frozen","Eglefino, congelado","Églefin, congelé",049
41050,"Saithe (=Pollock), frozen","Carbonero (Colín), congelado","Lieu noir, congelé",050
41051,"Hake, frozen","Merluza, congelada","Merlu, congelé",051
41052,"Gadiformes, other frozen","Gadiformes, otros congelados","Gadiformes, autres congelés",052
41053,"Seabream, seabass, frozen","Sargo, lubina, congelados","Spare, bar, congelés",053
41054,"Snappers, groupers, croakers, drums, frozen","Pargos, meros, esciénidos, congelados","Vivaneaux, mérous, sciaenidés, congelés",054
41055,"Redfishes, frozen","Gallinetas, congeladas","Rascasses, congelées",055
41056,"Angler (=Monk), frozen","Rape, congelado","Baudroie, congelée",056
41057,"Demersal and coastal fishes, other frozen","Peces demersales y costeros, otros congelados","Poissons démersaux et côtiers, autres congelés",057
41058,"Herrings, frozen","Arenques, congelados","Harengs, congelés",058
41059,"Sardines, sardinellas, brisling or sprats, frozen","Sardinas, sardinellas, espadines, congelados","Sardines, sardinelles, sprats ou esprots, congelés",059
41060,"Clupeoids, other frozen","Clupeoideos, otros congelados","Clupéoidés, autres congelés",060
41061,"Skipjack or bonitos, frozen","Listados o bonitos, congelados","Listaos ou bonites, congelés",061
41062,"Albacore (=longfin tuna), frozen","Atún blanco, congelado","Germon (=Thon blanc), congelé",062
41063,"Yellowfin tuna, frozen","Rabil, congelado","Thon albacore, congelé",063
41064,"Tunas, other, and tuna-like fishes, frozen","Atunes, otros, y peces parecidos a los atunes, congelados","Thons, autres, et poissons type thon, congelés",064
41065,"Mackerels, frozen","Caballas, congeladas","Maquereaux, congelés",065
41066,"Jack and horse mackerel, frozen","Jureles, congelados","Chinchards noirs, congelés",066
41067,"Capelin, frozen","Capelán, congelada","Capelan, congelé",067
41068,"Pelagic fishes, other frozen","Peces pelágicos, otros congelados","Poissons pélagiques, autres congelés",068
41069,"Sharks, rays, chimaeras, frozen","Tiburones, rayas, quimeras, congelados","Squales, raies, chimères, congelés",069
41070,"Livers, roes, frozen","Hígados, huevas, congelados","Foies, oeufs, congelés",070
41071,"Miscellaneous fishes, frozen","Peces diversos, congelados","Poissons divers, congelés",071
41072,"Fish fillets, fresh or chilled","Pescado en filetes, fresco o refrigerado","Filets de poisson, frais ou réfrigérés",072
41073,"Fish fillets, frozen","Pescado en filetes, congelado","Filets de poisson, congelés",073
41074,"Fish meat, other, (whether or not minced), fresh, chilled or frozen","Otras carnes de pescado, (desmenuzadas o no), frescas, refrigeradas o congeladas","Autres chairs de poissons, (même hachées), fraîches, réfrigérées ou congelées",074
41075,Fish meal fit for human consumption,"Harina de pescado, apta para el consumo humano","Farine de poisson, propre à l'alimentation humaine",075
41076,"Cods, dried, whether or not salted","Bacalaos, secos, salados o sin salar","Morues, séchées, même salées",076
41077,"Herrings, sardines, anchovies, dried, whether or not salted","Arenques, sardinas, anchoas, secos, salados o sin salar","Harengs, sardines, anchois, séchés, même salés",077
41078,"Fish, other dried, whether or not salted","Pescados, otros secos, salados o sin salar","Poissons, autres séchés, même salés",078
41079,"Cods, hakes, haddocks, salted or in brine","Bacalaos, merluzas, eglefinos, salados o en salmuera","Morues, merlus, églefins, salés ou en saumure",079
41080,"Herrings, sardines, anchovies, salted or in brine","Arenques, sardinas, anchoas, salados o en salmuera","Harengs, sardines, anchois, salés ou en saumure",080
41081,"Fish, other salted or in brine","Pescados, otros salados o en salmuera","Poissons, autres salés ou en saumure",081
41082,"Salmons and other salmonoids, smoked","Salmones y otros salmonoideos, ahumados","Saumons et autres salmonoidés, fumés",082
41083,"Herrings, smoked","Arenques, ahumados","Harengs, fumés",083
41084,"Fish, other smoked","Pescados, otros ahumados","Poissons, autres fumés",084
41085,"Shark fins, dried, salted","Aletas de tiburón, secas, saladas","Ailerons de requin,, séchés, salés",085
41086,"Livers, roes, dried, salted or in brine or smoked","Hígados, huevas, secos, salados o en salmuera o ahumados","Foies, oeufs, séchés, salés ou en saumure ou fumés",086
41087,"Fish fillets, dried, salted or in brine","Pescado en filetes, seco, salado o en salmuera","Filets de poissons, séchés, salés ou en saumure",087
41088,"Salmons, prepared or preserved","Salmones, preparados o en conserva","Saumons, préparations ou conserves",088
41089,"Herrings, prepared or preserved","Arenques, preparados o en conserva","Harengs, préparations ou conserves",089
41090,"Sardines, sardinellas, brisling or sprats, prepared or preserved","Sardinas, sardinellas, espadines, preparados o en conserva","Sardines, sardinelles, sprats ou esprots, préparations ou conserves",090
41091,"Anchovies, prepared or preserved","Anchoa, preparada o en conserva","Anchois, préparations ou conserves",091
41092,"Tunas and bonitos, prepared or preserved","Atunes y bonitos, preparados o en conserva","Thons et pélamides, préparations ou conserves",092
41093,"Mackerels, prepared or preserved","Caballas, preparadas o en conserva","Maquereaux, préparations ou conserves",093
41094,"Fish, other prepared or preserved","Pescados, otros preparados o en conserva","Poissons, autres préparations ou conserves",094
41095,Other fish preparations,Otras preparaciones de pescado,Autres préparations de poissons,095
41096,Caviar and caviar substitutes,Caviar y sucedáneos,Caviar et succédanés de caviar,096
41097,"Lobsters, not frozen","Bogavantes, sin congelar","Homards, non congelés",097
41098,"Lobsters, frozen","Bogavantes, congelados","Homards, congelés",098
41099,"Crabs, not frozen","Cangrejos, sin congelar","Crabes, non congelés",099
41100,"Crabs, frozen","Cangrejos, congelados","Crabes, congelés",100
41101,"Shrimps and prawns, not frozen","Camarones, sin congelar","Crevettes, non congelées",101
41102,"Shrimps and prawns, frozen","Camarones, congelados","Crevettes, congelées",102
41103,"Abalones, live, fresh, chilled, frozen, dried, salted, in brine","Orejas de mar,vivas,  frescas, refrigeradas, congeladas, secas, saladas, en salmuera","Ormeaux vivants, frais, réfrigérés, congelés, séchés, salés, en saumure",103
41104,"Oysters, live, fresh, chilled, frozen, dried, salted, in brine","Ostras, vivas, frescas, refrigeradas, congeladas, secas, saladas, en salmuera","Huîtres, vivantes, fraîches, réfrigérées, congelées, séchées, salées, en saumure",104
41105,"Mussels, live, fresh, chilled, frozen, dried, salted, in brine","Mejillones, vivos, frescos, refrigerados, congelados, secos, salados, en salmuera","Moules, vivantes, fraîches, réfrigérées, congelées, séchées, salées, en saumure",105
41106,"Scallops, live, fresh, chilled, frozen, dried, salted, in brine","Vieiras, vivas, frescas, refrigeradas, congeladas, secas, saladas, en salmuera","Coquilles St. Jacques, vivantes, fraîches, réfrigérées, congelées, séchées, salées, en saumure",106
41107,"Clams, cockles, arkshells, live, fresh, chilled, frozen, dried, salted, in brine","Almejas, berberechos, arcas, vivos, frescos, refrigerados, congelados, secos, salados, en salmuera","Clams, coques, arches, vivants, frais, réfrigérés, congelés, séchés, salés, en saumure",107
41108,"Squids and cuttlefishes,live, fresh or chilled","Calamares y jibias, vivos, frescos o refrigerados","Encornets et seiches, vivants, frais ou réfrigérés",108
41109,"Squids and cuttlefishes, frozen","Calamares y jibias, congelados","Encornets et seiches, congelés",109
41110,"Octopuses, live, fresh or chilled","Pulpos, vivos, frescos o refrigerados","Poulpes, vivants, frais ou réfrigérés",110
41111,"Octopuses, frozen","Pulpos, congelados","Poulpes, congelés",111
41112,"Squids, cuttlefishes and octopuses, dried, salted, in brine, smoked","Calamares, jibias y pulpos, secos, salados, en salmuera, ahumados","Encornets, seiches et poulpes, séchés, salés, en saumure, fumés",112
41113,"Sea cucumber, live, fresh, frozen, dried, salted or in brine","Cohombros de mar, vivos, frescos, congelados, secos, salados, en salmuera","Bêche-de-mer, vivante, fraîche, congelée, séchée, salée, en saumure",113
41114,"Jellyfish, live, fresh, frozen, dried, salted or in brine","Medusas, vivas, frescas, refrigeradas, congelatas, secas, saladas o en salmuera","Méduses, vivantes, fraîches, réfrigérées, congelées, séchées, salées ou en saumure",114
41115,"Sea-urchins, live, fresh, frozen, dried, salted, in brine","Erizos de mar, vivos, frescos, congelados, secos, salados, en salmuera","Oursins, vivants, frais, congelés, séchés, salés, en saumure",115
41116,"Other crustaceans, live, fresh, chilled, frozen, dried or salted","Los demás crustáceos, vivos, frescos, refrigerados, congelados, secos o salados","Autres crustacés, vivants, frais, réfrigérés, congelés, sechés ou salés",116
41117,"Other molluscs and aquatic invertebrates, live, fresh, chilled, frozen, dried or salted","Los demás moluscos y invertebrados acuáticos, vivos, frescos, refrigerados, congelados, secos o salados","Autres mollusques et invertébrés aquatiques, vivants, frais, réfrigérés, congelés, sechés ou salés",117
41118,"Crabs, prepared or preserved","Cangrejos, preparados o en conservas","Crabes, préparations ou conserves",118
41119,"Lobsters, prepared or preserved","Bogavantes, preparados o en conservas","Homards, préparations ou conserves",119
41120,"Shrimps and prawns, prepared or preserved","Camarones, preparados o en conservas","Crevettes, préparations ou conserves",120
41121,"Crustaceans, other prepared or preserved","Crustáceos, otros preparados o en conservas","Crustacés, autres préparations ou conserves",121
41122,"Molluscs and other aquatic invertebrates, prepared or preserved","Moluscos y otros invertebrados acuáticos, preparados o en conservas","Mollusques et autres invertébrés aquatiques, préparations ou conserves",122
41123,Fish liver oils,Aceites de hígado de pescado,Huiles de foie de poisson,123
41124,Fats and oils of fish (other than liver oils) and aquatic mammals,Aceites y grasas de pescado (excluidos aceites de hígado de pescado) y de mamíferos marinos,Graisses et huiles de poisson (autres qu'huiles de foie de poissons) et de mammifères marins,124
41125,"Meals and similar animal feeding stuff, of aquatic animal origin",Harinas y alimentos similares para animales acuáticos,"Farines et aliments similaires pour animaux, provenant d'animaux aquatiques",125
41126,Fish waste,Desperdicios de pescado,Déchets de poisson,126
41127,"Coral and similar material, unworked or simply prepared","Coral y sustancias análogas, sin labrar o preparadas simplemente","Coral et matières similaires, bruts ou simplement préparés",127
41128,Natural sponges of animal origin,Esponjas naturales de origen animal,Eponges naturelles d'origine animale,128
41129,Seaweeds and other algae,Algas marinas y otras algas,Algues,129
41130,Agar - Agar,Agar - Agar,Agar - Agar,130
