"Code","ISSCFCmapping","Identifier","Name_En","Name_Es","Name_Fr"
"0302.35","034.1.5.6.30","216","Bluefin tuna (Thunnus thynnus, Thunnus orientalis), fresh or chilled","Atún rojo (Thunnus thynnus)  fresco o refrigerado","Thons rouges (Thunnus thynnus), frais ou réfrigéré"
"0302.36","034.1.5.6.35","217","Fresh or chilled Southern bluefin tuna (Thunnus maccoyii)","Atún blanco, fresco o refrigerado","Thons rouges du Sud (Thunnus maccoyii), frais ou réfrigéré"
"0302.39","034.1.5.6.90","218","Other tunas, fresh or chilled","Los demás atunes, frescos o refrigerados","Autres thons, frais ou réfrigérés"
"0303.11","034.2.4.3.31","219","Sockeye salmon(red salmon)(Oncorhynchus nerka) frozen","Salmón rojo (Oncorhynchus nerka), congelado","Saumons rouges (Oncorhynchus nerka), congelés"
"0303.31","034.2.5.1.19","220","Greenland, Atlantic and Pacific halibut, frozen","Halibut, congelados","Flétans, congelés"
"0303.32","034.2.5.1.31","221","Plaice (Pleuronectes platessa), frozen","Sollas (Pleuronectes platessa), congeladas","Plies ou carrelets (Pleuronectes platessa), congelés"
"0303.33","034.2.5.1.49","222","Sole (Solea spp.), frozen","Lenguados (Solea spp.), congelados","Soles (Solea spp.), congelées"
"0303.39","034.2.5.1.90","223","Other flatfish, frozen","Los demás pescados planos, congelados","Autres poissons plats, congelés"
"0303.41","034.2.5.6.49","224","Albacore or longfinned tunas (Thunnus alalunga), frozen","Albacores o atunes blancos (Thunnus alalunga), congelados","Thons blancs ou germons (Thunnus alalunga), congelés"
"0303.42","034.2.5.6.59","225","Yellowfin tunas (Thunnus albacares), frozen","Atunes de aleta amarilla [rabiles] (Thunnus albacares), congelados","Thons à nageoires jaunes (Thunnus albacares), congelés"
"0303.43","034.2.5.6.29","226","Skipjack or stripe-bellied bonito, frozen","Listados o bonitos de vientre rayado, congelados","Listaos ou bonites à ventre rayé, congelés"
"0303.44","034.2.5.6.69","227","Bigeye tuna, frozen","Patudo, congelado","Thons obèses, congelés"
"0303.45","034.2.5.6.30","228","Bluefin tuna (Thunnus thynnus, Thunnus orientalis), frozen","Atún rojo (Thunnus thynnus, Thunnus orientalis), congelado","Thons rouges (Thunnus thynnus, Thunnus orientalis), congelés"
"0303.46","034.2.5.6.35","229","Southern bluefin tuna (Thunnus maccoyii), frozen","Atún rojo del Sur (Thunnus maccoyii), congelado","Thons rouges du Sud (Thunnus maccoyii), congelés"
"0303.49","034.2.5.6.909","230","Other tunas, frozen","Los demás atunes, congelados","Autres thons, congelés"
"0303.51","034.2.5.5.19","231","Herrings (Clupea spp.), frozen","Arenques (Clupea spp.), congelados","Harengs (Clupea spp.), congelés"
"0304.91","034.4.4.2.5.6.80","232","Swordfish (Xiphias gladius) meat, frozen","Carne de peces espada (Xiphias gladius), congelada","Chair d'espadons (Xiphias gladius), congelée"
"0304.92","034.4.4.2.5.4.17","233","Toothfish (Dissostichus spp.) meat, frozen","Carne de austromerluza (Dissostichus spp.), congelada","Chair de légines (Dissostichus spp.), congelée"
"0304.99","034.4.4.2.6.90","234","Fish meat, whether or not minced, frozen","Carne de pescado (incluso picadas), congelada","Chair de poissons, même hachée, congelée"
"0305.10","035.01.1.90","235","Fish flours fit for human consumption","Harina de pescado apta para la alimentación humana","Farines de poisson propres à l'alimentation humaine"
"0305.20","035.02.3.9.1.90","236","Fish livers and roes, dried, salted or in brine, smoked","Hígados, huevas y lechas, secos, salados o en salmuera, ahumados","Foies, oeufs et laitances de poissons, séchés, fumés, salés ou en saumure"
"0305.41","035.03.4.3.39","237","Salmons, including fillets, smoked","Salmones, incluso los filetes, ahumados","Saumons, y compris les filets, fumés"
"0305.42","035.03.5.5.19","238","Herrings, including fillets, smoked","Arenques, incluso los filetes, ahumados","Harengs, y compris les filets, fumés"
"0305.49","035.03.6.95","239","Other fish, including fillets, smoked","Los demás pescados ahumados incluso los filetes","Autres poissons, y compris les filets, fumés"
"0305.51","035.02.1.5.2.19","240","Dried cod (Gadus spp.), whether or not salted but not smoked","Bacalaos (Gadus spp.), secos, incluso salados, sin ahumar","Morues (Gadus spp.), séchées, même salées, mais non fumées"
"0305.59","035.02.1.6.99","241","Other fish, dried, whether or not salted but not smoked","Los demás pescados secos, incluso salados, sin ahumar","Autres poissons séchés, même salés, mais non fumés"
"0305.61","035.02.2.5.5.11","242","Herrings, salted or in brine","Arenques, salados  o en salmuera","Harengs, uniquement salés ou en saumure"
"0305.62","035.02.2.5.2.12","243","Cod (Gadus spp.), salted or in brine","Bacalaos (Gadus spp.), salados o en salmuera","Morues (Gadus spp.), uniquement salées ou en saumure"
"0305.63","035.02.2.5.5.62","244","Anchovies, salted or in brine","Anchoas, saladas o en salmuera","Anchois, uniquement salés ou en saumure"
"0305.69","035.02.2.6.90","245","Other fish, salted or in brine","Los demás pescados, salados o en salmuera","Autres poissons, uniquement salés ou en saumure"
"0306.11","036.0.1.4.3.59","246","Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), whether in shell or not, frozen","Langostas (Palinurus spp., Panulirus spp., Jasus spp.), incluso peladas, congeladas","Langoustes (Palinurus spp., Panulirus spp., Jasus spp.), même décortiquées, congelées"
"0306.12","036.0.1.4.3.49","247","Lobsters (Homarus spp.), whether in shell or not, frozen","Bogavantes (Homarus spp.), incluso pelados, congelados","Homards (Homarus spp.), même décortiqués, congelés"
"0306.14","036.0.1.4.2.99","248","Crabs, whether in shell or not, frozen","Cangrejos de mar, incluso pelados, congelados","Crabes, même décortiqués, congelés"
"0306.19","036.0.1.4.9.90","249","Other crustaceans, whether in shell or not, frozen","Los demás crustáceos, incluso pelados, congelados","Autres crustacés, même décortiqués, congelés"
"0307.21","036.0.2.3.5.95","250","Scallops, including queen scallop, live, fresh or chilled","Veneras (Vieiras) o volandeiras, vivas, frescas o refrigeradas","Coquilles Saint-Jacques ou peignes, pétoncles ou vanneaux, vivants, frais ou réfrigérés"
"0307.31","036.0.2.3.4.90","251","Mussels, live, fresh or chilled","Mejillones, vivos, frescos o refrigerados","Moules, vivantes, fraîches ou réfrigérées"
"0307.51","036.0.2.3.7.50","252","Octopus, live, fresh or chilled","Pulpos, vivos, frescos, refrigerados","Poulpes ou pieuvres, vivants, frais ou réfrigérés"
"0508.00","291.1.5.90","253","Coral and similar material, unworked or simply prepared","Coral y sustancias análogas, sin labrar o preparadas simplemente","Corail et matières similaires, bruts ou simplement preparés"
"0511.91","291.9.6.10","254","Fish waste","Desperdicios de pescado","Déchets de poissons"
"0511.99","291.9.7.90","255","Other animal products not elsewhere specified or included","Otros productos de origen animal no expresados ni comprendidos en otra parte","Autres produits d'origine animale, non dénommés ni compris ailleurs"
"1302.31","292.9.1.19","256","Agar - agar","Agar - agar","Agar - agar"
"1504.10","411.11.5.9.90","257","Fish-liver oils","Aceites de hígado de pescado","Huiles de foies de poissons"
"1504.20","411.12.5.9.90","258","Fish oils, other than liver oils","Aceites de pescado, excepto los aceites de hígado","Huiles de poissons, à l'exclusion des huiles de foies"
"1504.30","411.13.1.90","259","Oils of marine mammals","Aceites de mamíferos marinos","Huiles de mammifères marins"
"1604.11","037.1.1.4.3.399","260","Salmon, prepared or preserved","Salmones, preparados y conservados","Préparations et conserves de saumons"
"1604.12","037.1.1.5.5.199","261","Herrings, prepared or preserved","Arenques, preparados y conservados","Préparations et conserves de harengs"
"1604.13","037.1.1.5.5.709","262","Sardines, sardinella and brisling or sprats, prepared or preserved","Sardinas, sardinelas y espadines, preparados y conservados","Préparations et conserves de sardines, sardinelles, sprats ou esprots"
"1604.14","037.1.1.5.6.911","263","Tunas, skipjack and Atlantic bonito, prepared or preserved","Atunes, listados y bonitos, preparados y conservados","Préparations et conserves de thons, de listaos et de bonites"
"1604.15","037.1.1.5.7.691","264","Mackerel, prepared or preserved","Caballas, preparadas y conservadas","Préparations et conserves de maquereaux"
"1604.16","037.1.1.5.5.609","265","Anchovies, prepared or preserved","Anchoas, preparadas y conservadas","Préparations et conserves d'anchois"
"1604.19","037.1.1.6.99","266","Other fish, whole or in pieces, prepared or preserved","Los demás pescados, preparados y conservados","Autres poissons, préparations et conserves"
"1604.20","037.1.3.6.90","267","Prepared or preserved fish, excl. whole or in pieces","Las demás preparaciones y conservas de pescado picado","Préparations et conserves de poissons, à l'excl. des prép. et conserves de poissons entiers ou en morceaux"
"1605.10","037.2.1.1.2.909","268","Crab, prepared or preserved","Cangrejos de mar, preparados o conservados","Crabes, préparés ou conservés"
"1605.30","037.2.1.1.3.20","269","Lobster, prepared or preserved","Bogavantes, preparados o conservados","Homards, préparés ou conservés"
"1605.40","037.2.1.1.9.99","270","Other crustaceans, prepared or preserved","Los demás crustáceos, preparados o conservados","Autres crustacés, préparés ou conservés"
"2103.90","037.1.3.5.9.98","271","Sauces and preparations therefor; mixed condiments and mixed seasonings, nei","Preparaciones para salsas y salsas preparadas; condimentos y sazonadores, compuestos, nep","Préparations pour sauces et sauces préparées; condiments et assaisonnements, composés, nca"
"2301.20","081.42.1.5.9.90","272","Meals of fish or crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption","Harinas de pescado, crustáceos, moluscos o de otros invertebrados acuáticos, impropias para la alimentación humana","Farines de poissons ou de crustacés, de mollusques, d'autres invertébrés aquatiques, impropres à l'alimentation humaine"
"2309.90","081.99.2.1.901","273","Preparations of a kind used in animal feeding, nei","Preparaciones del tipo de las utilizadas para la alimentación de los animales, nep","Préparations des types utilisés pour l'alimentation des animaux, nca"
"0301.11","034.1.1.1.11","274","Ornamental freshwater fish, live","Peces ornamentales, vivos, de agua dulce","Poissons d'ornement, vivants, d'eau douce"
"0301.19","034.1.1.1.12","275","Ornamental fish, live, other","Peces ornamentales, vivos, los demás","Poissons d'ornement, vivants, autres"
"0302.13","034.1.4.3.30","276","Pacific salmon, fresh or chilled","Salmones del Pacífico, frescos o refrigerados","Saumons du Pacifique, frais ou réfrigérés"
"0302.14","034.1.4.3.20","277","Atlantic and Danube salmon, fresh or chilled","Salmones del Atlántico, frescos o refrigerados","Saumons de l'Atlantique et saumons du Danube, frais ou réfrigérés"
"0302.24","034.1.5.1.70","278","Turbots (Psetta maxima), fresh or chilled","Rodaballos (Psetta maxima), frescas o refrigeradas","Turbots (Psetta maxima), frais ou réfrigérés"
"0302.41","034.1.5.5.19","279","Herrings (Clupea harengus, Clupea pallasii), fresh or chilled","Arenques (Clupea harengus, Clupea pallasii), frescos o refrigerados","Harengs (Clupea harengus, Clupea pallasii), frais ou réfrigérés"
"0302.42","034.1.5.5.60","280","Anchovies (Engraulis spp.), fresh or chilled","Anchoas (Engraulis spp.), frescas o refrigeradas","Anchois (Engraulis spp.), frais ou réfrigérés"
"0302.43","034.1.5.5.70","281","Sardines, sardinellas, brisling or sprats, fresh or chilled","Sardinas, sardinelas y espadines, frescos o refrigerados","Sardines, sardinelles, sprats ou esprots, frais ou réfrigérés"
"0302.44","034.1.5.7.69","282","Mackerel, fresh or chilled","Caballas, frescos o refrigerados","Maquereaux, frais ou réfrigérés"
"0302.45","034.1.5.7.70","283","Jack and horse mackerel (Trachurus spp.), fresh or chilled","Jureles (Trachurus spp.), frescos o refrigerados","Chinchards (Trachurus spp.), frais ou réfrigérés"
"0302.46","034.1.5.7.50","284","Cobia (Rachycentron canadum), fresh or chilled","Cobias (Rachycentron canadum), frescas o refrigeradas","Mafous (Rachycentron canadum), frais ou réfrigérés"
"0302.47","034.1.5.6.80","285","Swordfish (Xiphias gladius), fresh or chilled","Peces espada (Xiphias gladius), frescos o refrigerados","Espadons (Xiphias gladius), frais ou réfrigérés"
"0302.51","034.1.5.2.19","286","Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), fresh or chilled","Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus), frescos o refrigerados","Morues (Gadus morhua, Gadus ogac, Gadus macrocephalus), fraîches ou réfrigérées"
"0302.52","034.1.5.2.30","287","Haddock (Melanogrammus aeglefinus), fresh or chilled","Eglefinos (Melanogrammus aeglefinus), frescos o refrigerados","Églefins (Melanogrammus aeglefinus), frais ou réfrigérés"
"0302.53","034.1.5.2.40","288","Coalfish(=Saithe), fresh or chilled","Carboneros (Pollachius virens), frescos o refrigerados","Lieus noirs (Pollachius virens), frais ou réfrigérés"
"0302.54","034.1.5.2.69","289","Hake (Merluccius spp., Urophycis spp.), fresh or chilled","Merluzas (Merluccius spp., Urophycis spp.), frescas o refrigeradas","Merlus (Merluccius spp., Urophycis spp.), frais ou réfrigérés"
"0302.55","034.1.5.2.45","290","Alaska Pollock (Theragra chalcogramma), fresh or chilled","Abadejo de Alaska (Theragra chalcogramma), frescos o refrigerados","Lieus d'Alaska (Theragra chalcogramma),  frais ou réfrigérés"
"0302.56","034.1.5.2.50","291","Blue whitings (Micromesistius poutassou, Micromesistius australis), fresh or chilled","Bacaladillas (Micromesistius poutassou, Micromesistius australis), frescas o refrigeradas","Merlans bleus (Micromesistius poutassou, Micromesistius australis), frais ou réfrigérés"
"0302.59","034.1.5.2.90","292","Other Gadiformes, fresh or chilled","Gadiformes, frescos o refrigerados, nep","Poissons Gadiformes, frais ou réfrigérés, nca"
"0302.71","034.1.3.2.20","293","Tilapias (Oreochromis spp.), fresh or chilled","Tilapias (Oreochromis spp.),  frescos o refrigerados","Tilapias (Oreochromis spp.),  frais ou réfrigérés"
"0302.72","034.1.3.9.30","294","Catfish,  fresh or chilled","Bagres o peces gatos,  frescos o refrigerados","Siluridés (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.),  frais ou réfrigérés"
"0302.73","034.1.3.1.10","295","Carp,  fresh or chilled","Carpas,  frescas o refrigeradas","Carpes,  fraîches ou réfrigérées"
"0302.74","034.1.4.2.10","296","Eels (Anguilla spp.),  fresh or chilled","Anguilas (Anguilla spp.),  frescas o refrigeradas","Anguilles (Anguilla spp.),  fraîches ou réfrigérées"
"0302.79","034.1.3.9.55","297","Nile perch (Lates niloticus) and snakeheads (Channa spp.),  fresh or chilled","Percas del Nilo (Lates niloticus) y peces cabeza de serpiente (Channa spp.),  frescos o refrigerados","Perches du Nil (Lates niloticus) et poissons tête de serpent (Channa spp.),  frais ou réfrigérés"
"0302.81","034.1.5.8.70","298","Dogfish and other sharks,  fresh or chilled","Escualos,  frescos o refrigerados","Squales,  frais ou réfrigérés"
"0302.82","034.1.5.8.80","299","Rays and skates (Rajidae),  fresh or chilled","Rayas (Rajidae),  frescas o refrigeradas","Raies (Rajidae), fraîches ou réfrigérées"
"0302.83","034.1.5.4.17","300","Toothfish (Dissostichus spp.),  fresh or chilled","Austromerluzas antárticas y austromerluzas negras (Dissostichus spp.), frescas o refrigeradas","Légines (Dissostichus spp.), fraîches ou réfrigérées"
"0302.84","034.1.5.3.22","301","Seabass (Dicentrarchus spp.),  fresh or chilled","Róbalos (Dicentrarchus spp.), frescos o refrigerados","Bars (Dicentrarchus spp.),  frais ou réfrigérés"
"0302.85","034.1.5.3.461","302","Seabream (Sparidae),  fresh or chilled","Sargos (Doradas, Espáridos) (Sparidae), frescos o refrigerados","Dorades (Sparidés) (Sparidae), fraîches ou réfrigérées"
"0302.89","034.1.6.90","303","Other freshwater or saltwater fish,  fresh or chilled","Los demás pescados de agua dulce y marinos, frescos o refrigerados","Autres poissons de mer et d'eau douce, frais ou réfrigérés"
"0303.12","034.2.4.3.35","304","Other Pacific salmon, frozen","Los demás salmones del Pacífico,  congelados","Autres saumons du Pacifique, congelés"
"0303.13","034.2.4.3.20","305","Atlantic and Danube salmon, frozen","Salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho),  congelados","Saumons de l'Atlantique (Salmo salar) et saumons du Danube (Hucho hucho), congelés"
"0303.14","034.2.4.3.50","306","Trout, frozen","Truchas,  congeladas","Truites, congelées"
"0303.23","034.2.3.2.20","307","Tilapias (Oreochromis spp.), frozen","Tilapias (Oreochromis spp.), congeladas","Tilapias (Oreochromis spp.),  congelés"
"0303.24","034.2.3.9.30","308","Catfish, frozen","Bagres o peces gatos, congelados","Siluridés,  congelés"
"0303.25","034.2.3.1.10","309","Carp, frozen","Carpas, congeladas","Carpes, congelées"
"0303.26","034.2.4.2.10","310","Eels, frozen","Anguilas (Anguilla spp.), congeladas","Anguilles (Anguilla spp.), congelées"
"0303.34","034.2.5.1.70","311","Turbots (Psetta maxima), frozen","Rodaballos (Psetta maxima), congelados","Turbots (Psetta maxima),  congelés"
"0303.53","034.2.5.5.70","312","Sardines, sardinella, brisling or sprats, frozen","Sardinas, sardinelas y espadines, congeladas","Sardines, sardinelles, sprats ou esprots, congelés"
"0303.54","034.2.5.7.69","313","Mackerel, frozen","Caballas, congeladas","Maquereaux, congelés"
"0303.55","034.2.5.7.70","314","Jack and horse mackerel (Trachurus spp.), frozen","Jureles (Trachurus spp.), congelados","Chinchards (Trachurus spp.), congelés"
"0303.56","034.2.5.7.50","315","Cobia (Rachycentron canadum), frozen","Cobias (Rachycentron canadum), congeladas","Mafous (Rachycentron canadum), congelés"
"0303.57","034.2.5.6.80","316","Swordfish (Xiphias gladius), frozen","Peces espada (Xiphias gladius), congelados","Espadons (Xiphias gladius), congelés"
"0303.63","034.2.5.2.19","317","Cod (Gadus spp.), frozen","Bacalaos, congelados","Morues (Gadus morhua, Gadus ogac, Gadus macrocephalus), congelées"
"0303.64","034.2.5.2.30","318","Haddock (Melanogrammus aeglefinus), frozen","Eglefinos (Melanogrammus aeglefinus), congelados","Églefins (Melanogrammus aeglefinus), congelés"
"0303.65","034.2.5.2.40","319","Coalfish (=Saithe), frozen","Carboneros (Pollachius virens), congelados","Lieus noirs (Pollachius virens), congelés"
"0303.66","034.2.5.2.69","320","Hake (Merluccius spp., Urophycis spp.), frozen","Merluzas (Merluccius spp., Urophycis spp.), congeladas","Merlus (Merluccius spp., Urophycis spp.), congelés"
"0303.67","034.2.5.2.45","321","Alaska Pollock (Theragra chalcogramma), frozen","Abadejo de Alaska (Theraga chalcogramma), congelado","Lieus d'Alaska (Theragra chalcogramma), congelés"
"0303.68","034.2.5.2.50","322","Blue whitings (Micromesistius poutassou, Micromesistius australis), frozen","Bacaladillas (Micromesistius poutassou, Micromesistius australis), congeladas","Merlans bleus, congelés"
"0303.69","034.2.5.2.90","323","Other Gadiformes, frozen","Los demás Gadiformes, congelados","Autres poissons Gadiformes, congelés"
"0303.81","034.2.5.8.70","324","Dogfish and other sharks, frozen","Cazones y demás escualos, congelados","Squales, congelés"
"0303.82","034.2.5.8.80","325","Rays and skates (Rajidae),  frozen","Rayas (Rajidae), congeladas","Raies (Rajidae), congelées"
"0303.83","034.2.5.4.17","326","Toothfish (Dissostichus spp.), frozen","Austromerluzas antárticas y austromerluzas negras (Dissostichus spp.), congeladas","Légines (Dissostichus spp.), congelées"
"0303.84","034.2.5.3.22","327","Seabass (Dicentrarchus spp.),  frozen","Róbalos (Dicentrarchus spp.), congelados","Bars (Dicentrarchus spp.), congelés"
"0303.89","034.2.6.90","328","Other freshwater and saltwater fish, frozen","Los demás pescados de agua dulce y marinos, congelados","Autres poissons d'eau douce et de mer, congelés"
"0304.31","034.3.1.3.2.20","329","Tilapias (Oreochromis spp.), fillets, fresh or chilled","Filetes de tilapias (Oreochromis spp.), frescos o refrigerados","Filets de tilapias (Oreochromis spp.), frais ou réfrigérés"
"0304.32","034.3.1.3.9.30","330","Catfish, fillets, fresh or chilled","Filetes de bagres o pez gato, frescos o refrigerados","Filets de siluridés, frais ou réfrigérés"
"0304.33","034.3.1.3.9.50","331","Nile Perch (Lates niloticus), fillets, fresh or chilled","Filetes de percas del Nilo (Lates niloticus), frescos o refrigerados","Filets de perches du Nil (Lates niloticus), frais ou réfrigérés"
"0304.39","034.3.1.3.9.85","332","Carps, eels and snakeheads, fillets, fresh or chilled","Filetes de carpas, anguilas y peces cabeza de serpiente (Channa spp.), frescos o refrigerados","Filets de carpes, anguilles  et poissons tête de serpent (Channa spp.), frais ou réfrigérés"
"0304.41","034.3.1.4.3.39","333","Pacific, Atlantic and Danube salmon, fillets, fresh or chilled","Filetes de salmones del Pacífico, del Atlántico y del Danubio, frescos o refrigerados","Filets de saumons du Pacifique, de l'Atlantique (Salmo salar) et du Danube (Hucho hucho), frais ou réfrigérés"
"0304.42","034.3.1.4.3.50","334","Trout, fillets, fresh or chilled","Filetes de truchas,  frescos o refrigerados","Filets de truites, frais ou réfrigérés"
"0304.43","034.3.1.5.1.90","335","Flat fish, fillets, fresh or chilled","Filetes de pescados planos, frescos o refrigerados","Filets de poissons plats, frais ou réfrigérés"
"0304.44","034.3.1.5.2.90","336","Gadiformes, fillets, fresh or chilled","Gadiformes en filetes, frescos o refrigerados","Filets de poissons Gadiformes, frais ou réfrigérés"
"0304.45","034.3.1.5.6.80","337","Swordfish (Xiphias gladius), fillets, fresh or chilled","Filetes de peces espada (Xiphias gladius), frescos o refrigerados","Filets d'espadons (Xiphias gladius), frais ou réfrigérés"
"0304.46","034.3.1.5.4.17","338","Toothfish (Dissostichus spp.), fillets, fresh or chilled","Filetes de austromerluzas antárticas y austromerluzas negras, (Dissostichus spp.), frescos o refrigerados","Filets de légines (Dissostichus spp.), frais ou réfrigérés"
"0304.49","034.3.1.6.90","339","Fish fillets, fresh or chilled, nei","Filetes de los demás pescados, frescos o refrigerados","Filets de poissons, frais ou réfrigérés nca"
"0304.51","034.3.2.2.3.87","340","Meat of tilapias, catfish, carp, eels, nile perch and snakeheads, minced or not, fresh or chilled","Carne de tilapias,bagres o peces gatos,carpas,anguilas,percas del Nilo y peces cabeza de serpiente, fresca o refrigerada","Chair de tilapias, siluridés, carpes, anguilles, perches du Nil et poissons tête de serpent, fraîche ou réfrigérée"
"0304.52","034.3.2.2.4.3.90","341","Salmonidae, meat, minced or not, fresh or chilled","Carne de salmónidos, incluso picada, fresca o refrigerada","Chair de salmonidés, même hachée, fraîche, réfrigérée ou congelée"
"0304.53","034.3.2.2.5.2.90","342","Gadiformes, meat, minced or not, fresh or chilled","Carne de gadiformes, incluso picada, fresca o refrigerada","Chair de poissons Gadiformes,  même hachée, fraîche ou réfrigérée"
"0304.54","034.3.2.2.5.6.80","343","Swordfish (Xiphias gladius) meat, minced or not, fresh or chilled","Carne de peces espada (Xiphias gladius), fresca o refrigerada","Chair d'espadons (Xiphias gladius), fraîche ou réfrigérée"
"0304.55","034.3.2.2.5.4.17","344","Toothfish (Dissostichus spp.), meat, minced or not, fresh or chilled","Carne de austromerluzas antárticas y austromerluzas negras (Dissostichus spp.), fresca o refrigerada","Chair de légines (Dissostichus spp.), fraîche ou réfrigérée"
"0304.59","034.3.2.2.6.90","345","Other fish meat, minced or not, fresh or chilled","Los demás carnes de pescado, fresca o refrigerada","Chair de poissons, même hachée, fraîche ou réfrigérée"
"0304.61","034.4.1.3.2.20","346","Tilapias (Oreochromis spp.), fillets, frozen","Filetes de tilapias (Oreochromis spp.), congelados","Filets de tilapias (Oreochromis spp.), congelés"
"0304.62","034.4.1.3.9.30","347","Catfish, fillets, frozen","Filetes de bagres o pez gato, congelados","Filets de siluridés, congelés"
"0304.63","034.4.1.3.9.50","348","Nile Perch (Lates niloticus), fillets, frozen","Filetes de percas del Nilo (Lates niloticus), congelados","Filets de perches du Nil (Lates niloticus), congelés"
"0304.69","034.4.1.3.9.85","349","Carps, eels and snakeheads, fillets, frozen","Filetes de carpas, anguilas y peces cabeza de serpiente (Channa spp.), congelados","Filets de carpes, anguilles  et poissons tête de serpent (Channa spp.), congelés"
"0304.71","034.4.1.5.2.19","350","Cod, fillets, frozen","Filetes de bacalaos, congelados","Filets de morues, congelés"
"0304.72","034.4.1.5.2.30","351","Haddock (Melanogrammus aeglefinus), fillets, frozen","Filetes de eglefinos (Melanogrammus aeglefinus), congelados","Filets d'églefins (Melanogrammus aeglefinus), congelés"
"0304.73","034.4.1.5.2.40","352","Coalfish(=Saithe), fillets, frozen","Filetes de carboneros (Pollachius virens), congelados","Filets de lieus noirs (Pollachius virens), congelés"
"0304.74","034.4.1.5.2.69","353","Hake (Merluccius spp., Urophycis spp.), fillets, frozen","Filetes de merluzas (Merluccius spp., Urophycis spp.), congelados","Filets de merlus (Merluccius spp., Urophycis spp.), congelés"
"0304.75","034.4.1.5.2.45","354","Alaska Pollock (Theragra chalcogramma), fillets, frozen","Filetes de abadejo de Alaska (Theraga chalcogramma), congelados","Filets de lieus d'Alaska (Theragra chalcogramma), congelés"
"0304.79","034.4.1.5.2.90","355","Gadiformes fillets (excl. cod, haddock, coalfish/saithe, hake, Alaska pollock), frozen","Filetes de Gadiformes (excepto bacalaos, eglefinos, carboneros, merluzas, abadejo de Alaska), congelados","Filets de poissons Gadiformes (à l'excl. des morues, églefins, lieus noirs, merlus, lieus d'Alaska), congelés, nca"
"0304.81","034.4.1.4.3.391","356","Pacific, Atlantic and Danube salmon, fillets, frozen","Salmones del Pacífico, del Atlántico y  del Danubio, filetes, congelados","Filets de saumons du Pacifique, de l'Atlantique et du Danube, congelés"
"0304.82","034.4.1.4.3.50","357","Trout, fillets, frozen","Filetes de truchas, congelados","Filets de truites, congelés"
