"Code","Scientific_Name","Description_en","Description_fr","Description_es"
"ACR","Acropomatidae","Glow-bellies, splitfins nei","Macondes, etc. nca","Farolitos nep"
"ACS","Heteroconger hassi","Spotted garden-eel","",""
"ACT","Paraconger caudilimbatus","Margintail conger","",""
"ACU","Lumiconger arafura","","",""
"ACV","Acanthocepola abbreviata","Bandfish","",""
"ACW","Amblycirrhitus earnshawi","","",""
"ACX","Acanthaxius caespitosa","Deep-water mud lobster","Langouste poilue de profondeur","Langosta peluda de profundidad"
"ACY","Parabathymyrus macrophthalmus","","",""
"ACZ","Cambaridae","American crayfishes nei","Écrevisses américaines nca","Cangrejos río americanos nep"
"ADA","Aspidoras albater","","",""
"ADB","Adontosternarchus balaenops","","",""
"ADC","Acrochordonichthys chamaeleon","","",""
"ADD","Derichthys serpentinus","Narrownecked oceanic eel","",""
"ADE","Allotoca dugesii","Opal allotoca","",""
"ADF","Aspredinichthys filamentosus","Sevenbarbed banjo","",""
"ADG","Anadoras grypus","","",""
"ADH","Amblyglyphidodon aureus","Golden damselfish","",""
"ADI","Aplocheilus dayi","Ceylon killifish","",""
"ADJ","Pardachirus pavoninus","Peacock sole","",""
"ADK","Artedidraco skottsbergi","","",""
"ADL","Antipodocottus elegans","","",""
"ADM","Autanadoras milesi","","",""
"ADN","Nessorhamphus ingolfianus","Duckbill oceanic eel","",""
"ADO","Artediellus dydymovi","","",""
"ADP","Austrofundulus dolichopterus","Saberfin killie","",""
"ADQ","Antipathes dichotoma","Black coral","",""
"ADR","Aspredo aspredo","Banjo","",""
"ADS","Arnoldichthys spilopterus","Niger tetra","",""
"ADT","Pardachirus marmoratus","Finless sole","",""
"ADU","Allodontichthys hubbsi","Whitepatched splitfin","",""
"ADV","Apuredoras rivasi","","",""
"ADW","Artedius corallinus","Coralline sculpin","",""
"ADX","Adinia xenica","Diamond killifish","",""
"ADY","Aspredo cotylephorus","Banded banjo","",""
"ADZ","Artedidraco glareobarbatus","","",""
"AEA","Alestes lateralis","Stripped robber","",""
"AEB","Alestes baremoze","","",""
"AEC","Astronesthes cyclophotus","","",""
"AED","Alestes dentex","","",""
"AEE","Einara edentula","Toothless smooth-head","",""
"AEF","Apteronotus albifrons","Black ghost","",""
"AEG","Astronesthes gemmifer","","",""
"AEH","Alestopetersius brichardi","","",""
"AEI","Auchenipterus nigripinnis","","",""
"AEJ","Astronesthes indicus","","",""
"AEK","Herwigia kreffti","Krefft's smooth-head","",""
"AEL","Leptoderma lubricum","","",""
"AEM","Aethotaxis mitopteryx","Longfin icedevil","Calandre fil","Diablillo de hebra"
"AEN","Ericara niger","","",""
"AEO","Astronesthes leucopogon","","",""
"AEP","Astronesthes neopogon","","",""
"AER","Aequidens rivulatus","Green terror","","Vieja azul"
"AES","Pandalus montagui","Aesop shrimp","Crevette ésope","Camarón esópico"
"AET","Aetapcus maculatus","Warty prowfish","",""
"AEU","Auchenoceros punctatus","Ahuru","",""
"AEV","Asemichthys taylori","Spinynose sculpin","",""
"AEW","Atherinosoma wallacei","","",""
"AEX","Mastacembelus sexdecimspinus","","",""
"AEY","Apteronotus leptorhynchus","","",""
"AEZ","Abyssocottus elochini","","",""
"AFA","Forbesichthys agassizi","Spring cavefish","",""
"AFB","Aphyoplatys duboisi","","",""
"AFC","Atherinopsis californiensis","Jack silverside","",""
"AFD","Aphanius dispar","","",""
"AFE","Aplocheilichthys fuelleborni","","",""
"AFF","Atherion africanus","Pricklenose silverside","",""
"AFG","Asthenomacrurus fragilis","Fragile grenadier","",""
"AFH","Aphyosemion ahli","","",""
"AFI","Conocara fiolenti","Fiolenti's smooth-head","",""
"AFJ","Aphanius iberus","Spanish toothcarp","",""
"AFK","Apsilus fuscus","African forktail snapper","Vivaneau fourche d'Afrique","Pargo tijera"
"AFL","Antennatus flagellatus","","",""
"AFM","Adamas formosus","Starhead killi","",""
"AFN","Antennarius nummifer","Spotfin frogfish","",""
"AFO","Aspidophoroides bartoni","Aleutian alligatorfish","",""
"AFP","Amphiprion akallopisos","Skunk clownfish","",""
"AFQ","Paphies australis","Pipi wedge clam","",""
"AFR","Alloophorus robustus","Bulldog goodeid","",""
"AFS","Aphanius fasciatus","","",""
"AFT","Agonus cataphractus","Hooknose","Souris de mer",""
"AFU","Alfaro cultratus","","",""
"AFV","Aulorhynchus flavidus","Tube-snout","",""
"AFW","Assessor flavissimus","Yellow devilfish","",""
"AFX","Amphibolis antarctica","Sea nymph","",""
"AFY","Amphiprion akindynos","Barrier reef anemonefish","",""
"AFZ","Afronandus sheljuzhkoi","Fourspine leaffish","",""
"AGA","Guentherus altivela","Jellynose","",""
"AGB","Antipathes grandis","Umimatsu, pine coral","",""
"AGC","Amblygaster clupeoides","Bleeker smoothbelly sardinella","Sardinelle coulat","Sardinela vientre liso"
"AGD","Gymnothorax maderensis","Sharktooth moray","",""
"AGE","Agosia chrysogaster","Longfin dace","",""
"AGF","Agmus lyriformis","Gnarled catfish","",""
"AGG","Gymnothorax moringa","Spotted moray","","Morena manchada"
"AGH","Gymnotus pantherinus","","",""
"AGI","Gymnothorax polygonius","Polygon moray","","Morena polígona"
"AGJ","Argobuccinum olearium","Oil-vessel triton","Ranelle geante",""
"AGK","Gymnothorax unicolor","Brown moray","Murène brune","Morena negra"
"AGL","Amblygaster leiogaster","Smoothbelly sardinella","Sardinelle daniva","Sardinela daniva"
"AGM","Alligator mississippiensis","American alligator","Alligator américain","Caimán americano"
"AGN","Squatina squatina","Angelshark","Ange de mer commun","Angelote"
"AGO","Gymnothorax pseudothyrsoideus","Highfin moray","",""
"AGP","Agrostichthys parkeri","Streamer fish","",""
"AGQ","Aulostomus strigosus","","",""
"AGR","Aplodinotus grunniens","Freshwater drum","Malachigan","Roncador de agua dulce"
"AGS","Amblygaster sirm","Spotted sardinella","Sardinelle tachetée","Sardinela manchada"
"AGT","Gymnothorax meleagris","Turkey moray","",""
"AGU","Gymnothorax rueppelliae","Banded moray","",""
"AGV","Altolamprologus calvus","","",""
"AGW","Anoplogaster cornuta","Common fangtooth","",""
"AGX","Gymnothorax mordax","California moray","","Morena de California"
"AGY","Gymnothorax porphyreus","","",""
"AGZ","Argyrocottus zanderi","","",""
"AHA","Acanthorhodeus asmussii","Russian bitterling","",""
"AHB","Atopochilus chabanaudi","","",""
"AHC","Anchovia macrolepidota","Bigscale anchovy","Anchois à grandes écailles","Anchoa plateada"
"AHD","Abythites lepidogenys","","",""
"AHE","Archaulus biseriatus","Scaled sculpin","",""
"AHF","Aphanotorulus frankei","","",""
"AHG","Psephurus gladius","Chinese swordfish","",""
"AHH","Atherina hepsetus","Mediterranean sand smelt","",""
"AHI","Acanthocleithron chapini","","",""
"AHJ","Amaralia hypsiurus","","",""
"AHK","Alertichthys blacki","Alert pigfish","",""
"AHL","Acanthalburnus microlepis","Blackbrow bleak","",""
"AHM","Huso dauricus","Kaluga","",""
"AHN","Anthias anthias","Swallowtail seaperch","",""
"AHO","Alcichthys alcicornis","","",""
"AHP","Panturichthys isognathus","","",""
"AHQ","Cantheschenia grandisquamis","Large-scaled leatherjacket","",""
"AHR","Astronesthes niger","","",""
"AHS","Acanthobrama lissneri","","",""
"AHT","Acanthobrama terraesanctae","Kinneret bleak","",""
"AHU","Anchovia clupeoides","Zabaleta anchovy","Anchois hachude","Anchoa bocona"
"AHV","Ancharius brevibarbis","","",""
"AHW","Aristaeomorpha woodmasoni","Indian red shrimp","Gambon indien","Gamba roja india"
"AHX","Allocyttus spp","","",""
"AHY","Pythonichthys sanguineus","","",""
"AHZ","Apolemichthys guezei","Reunion angelfish","",""
"AIA","Apistus carinatus","Ocellated waspfish","",""
"AIB","Ambassidae","Glassfishes","",""
"AIC","Ailia coila","","",""
"AID","Ijimaia dofleini","","",""
"AIE","Alticorpus macrocleithrum","","",""
"AIF","Acanthoclinus fuscus","","",""
"AIG","Astacopsis gouldi","Giant tasmanian crayfish","",""
"AIH","Ancistrus cirrhosus","","",""
"AII","Amphilophus citrinellus","Midas cichlid","",""
"AIJ","Alticus kirkii","Kirk's blenny","",""
"AIK","Acarichthys heckelii","Threadfin acara","",""
"AIL","Acanthochromis polyacanthus","Spiny chromis","",""
"AIM","Austrophycis marginata","Dwarf codling","",""
"AIN","Acentrogobius caninus","Tropical sand goby","",""
"AIO","Acantholiparis opercularis","Spiny snailfish","",""
"AIP","Albatrossia pectoralis","Giant grenadier","",""
"AIQ","Astacopsis franklinii","","",""
"AIR","Anisarchus macrops","","",""
"AIS","Atrosalarias fuscus","","",""
"AIT","Apopterygion alta","Tasselled triplefin","",""
"AIU","Apistops caloundra","Short-armed waspfish","",""
"AIV","Alloblennius parvus","Dwarf blenny","",""
"AIW","Acanthina monodon","","",""
"AIX","Aidablennius sphynx","","",""
"AIY","Ahliesaurus berryi","","",""
"AIZ","Haliotis kamtschatkana","Pinto abalone","",""
"AJA","Aristeus alcocki","Arabian red shrimp","Gambon d'Arabie","Gamba roja arábiga"
"AJB","Bajacalifornia burragei","","",""
"AJC","Alaria esculenta","Babberlocks","Alimentaire varech",""
"AJD","Agonomalus jordani","","",""
"AJE","Artemia persimilis","","",""
"AJF","Haliotis spadicea","","",""
"AJG","Anthoptilum spp","","",""
"AJH","Anthozoa","","",""
"AJI","Artemiidae","","",""
"AJJ","Artemia sinica","","",""
"AJK","Astrotia stokesii","Stokes' sea snake","",""
"AJL","Cabillus lacertops","","",""
"AJM","Artemia spp","Brine shrimps nei","Crevettes de salines nca","Artemias nep"
"AJN","Aristeus semidentatus","Smooth red shrimp","Gambon lisse","Gamba roja lisa"
"AJO","Alcithoe larochei","Volute","",""
"AJP","Aulichthys japonicus","","",""
"AJQ","Aurelia aurita","Common jellyfish","Méduse commune","Agua mala"
"AJR","Astrea rugosa","Rough turbo","Turbo scabre","Peonza rugosa"
"AJS","Abalistes stellaris","Starry triggerfish","Baliste étoilé","Pejepuerco estrellado"
"AJT","Artemia tunisiana","","",""
"AJU","Artemia urmiana","","",""
"AJV","Aeneator recens","","",""
"AJW","Agonostomus monticola","Mountain mullet","Mulet de fleuve","Lisa de río"
"AJX","Acutiserolis spp","Spiny serolid isopod","",""
"AJY","Aega monophthalma","Fish biter","",""
"AJZ","Alcyonacea","Soft corals","Corails mous","Corales muelles"
"AKA","Anomalops katoptron","Splitfin flashlightfish","",""
"AKB","Acanthopagrus butcheri","","",""
"AKC","Astacus pachypus","","",""
"AKD","Acentrogobius dayi","Day's goby","",""
"AKE","Anisochromis kenyae","","",""
"AKF","Akysis fuscus","","",""
"AKG","Achoerodus gouldii","Western blue groper","",""
"AKH","Acropoma hanedai","","",""
"AKI","Archoplites interruptus","Sacramento perch","",""
"AKJ","Acanthocardia echinata","European prickly cockle","Bucarde rouge","Carneiro"
"AKK","Acanthocardia aculeata","Spiny cockle","Bucarde aiguillonnée","Marolo"
"AKL","Acantholabrus palloni","Scale-rayed wrasse","",""
"AKM","Acantholumpenus mackayi","Pighead prickleback","",""
"AKN","Akarotaxis nudiceps","","",""
"AKO","Bellocia koefoedi","Koefoed's smooth-head","",""
"AKP","Acantharchus pomotis","Mud sunfish","",""
"AKQ","Arca navicularis","Indo-Pacific ark","Arche navicule",""
"AKR","Ambloplites rupestris","Rock bass","",""
"AKS","Acetes japonicus","Akiami paste shrimp","Chevrette akiami","Camaroncillo akiami"
"AKT","Anomalochromis thomasi","","",""
"AKU","Acanthopagrus australis","Surf bream","",""
"AKV","Askoldia variegata","","",""
"AKW","Aphrodita aculeata","Sea mouse","Aphrodite",""
"AKX","Paphies spp","","",""
"AKY","Adrianichthys kruyti","Duckbilled buntingi","",""
"AKZ","Aiakas zinorum","","",""
"ALA","Alectis alexandrinus","Alexandria pompano","Cordonnier bossu","Jurel de Alejandría"
"ALB","Thunnus alalunga","Albacore","Germon","Atún blanco"
"ALC","Alepocephalus bairdii","Baird's slickhead","Alépocéphale de Baird","Talismán celindra"
"ALD","Apletodon dentatus","Small-headed clingfish","",""
"ALE","Alosa pseudoharengus","Alewife","Gaspareau","Pinchagua"
"ALF","Beryx spp","Alfonsinos nei","Béryx nca","Alfonsinos nep"
"ALG","Allenichthys glauerti","Glauert's anglerfish","",""
"ALH","Alepocephalus spp","Slickheads nei","","Talismanes"
"ALI","Alepisaurus spp","Lancetfishes nei","",""
"ALJ","Tragulichthys jaculiferus","Longspine burrfish","",""
"ALK","Theragra chalcogramma","Alaska pollock(=Walleye poll.)","Lieu de l'Alaska","Colín de Alaska"
"ALL","Allocyttus verrucosus","Warty dory","",""
"ALM","Aluterus monoceros","Unicorn leatherjacket filefish","",""
"ALN","Aluterus scriptus","Scribbled leatherjac. filefish","Bourse écriture","Lija trompa"
"ALO","Alepisaurus brevirostris","Short snouted lancetfish","",""
"ALP","Pleuronectes quadrituberculat.","Alaska plaice","Plie de l'Alaska","Solla de Alaska"
"ALQ","Atherinella argentea","Moon silverside","",""
"ALR","Alburnus alburnus","Bleak","Ablette","Alburno"
"ALS","Carcharhinus albimarginatus","Silvertip shark","Requin pointe blanche","Tiburón de puntas blancas"
"ALT","Aluterus spp","Leatherjacket filefishes","",""
"ALU","Albulidae","Bonefishes nei","Albulidés nca","Macabíes nep"
"ALV","Alopias vulpinus","Thresher","Renard","Zorro"
"ALW","Leptenchelys vermiformis","Slender worm-eel","Serpenton mince","Tieso esbelto"
"ALX","Alepisaurus ferox","Long snouted lancetfish","Lancier longnez","Lanzón picudo"
"ALY","Letharchus velifer","","",""
"ALZ","Diomedeidae","Albatrosses nei","Albatros nca","Albatros nep"
"AMA","Anarchias allardicei","Allardice's moray","",""
"AMB","Seriola dumerili","Greater amberjack","Sériole couronnée","Pez de limón"
"AMC","Myroconger compressus","Red eel","",""
"AMD","Echidna catenata","Chain moray","","Morena cadena"
"AME","Echidna nebulosa","Snowflake moray","","Morena estrellada"
"AMF","Cirrimaxilla formosa","","",""
"AMG","Gymnothorax flavimarginatus","Yellow-edged moray","",""
"AMH","Channomuraena vittata","Broadbanded moray","","Morena cinturones"
"AMI","Gymnothorax funebris","Green moray","","Morena verde"
"AMJ","Seriola quinqueradiata","Japanese amberjack","Sériole du Japon","Medregal del Japón"
"AMK","Enchelycore bayeri","Bayer's moray","",""
"AML","Carcharhinus amblyrhynchos","Grey reef shark","Requin dagsit","Tiburón de arrecifes"
"AMM","Moringua edwardsi","Spaghetti eel","","Morenita"
"AMN","Neoconger tuberculatus","","",""
"AMO","Gymnomuraena zebra","Zebra moray","","Morena cebra"
"AMP","Echidna peli","Pebbletooth moray","",""
"AMQ","Enchelynassa canina","","",""
"AMR","Enchelycore pardalis","Leopard moray eel","",""
"AMS","Artemia salina","Brine shrimp","Crevette de salines","Artemia"
"AMT","Gymnothorax vicinus","Purplemouth moray","",""
"AMU","Esox reichertii","Amur pike","Brochet du Pacifique","Lucio del Pacífico"
"AMV","Gymnothorax dovii","Speckled moray","","Morena pintita"
"AMW","Gymnothorax ocellatus","Ocellated moray","","Morena ocelada"
"AMX","Seriola spp","Amberjacks nei","Sérioles nca","Medregales nep"
"AMY","Echidna polyzona","Barred moray","",""
"AMZ","Gymnothorax undulatus","Undulated moray","",""
"ANA","Engraulis anchoita","Argentine anchovy","Anchois d'Argentine","Anchoíta"
"ANB","Anchoa mitchilli","Bay anchovy","Anchois baie","Anchoa de caleta"
"ANC","Engraulis capensis","Southern African anchovy","Anchois de l'Afrique australe","Anchoa de Africa austral"
"AND","Tylosurus acus","Agujon needlefish","Aiguille voyeuse","Marao ojón(=Aguja imperial)"
"ANE","Engraulis encrasicolus","European anchovy","Anchois","Boquerón"
"ANF","Lophiidae","Anglerfishes nei","Baudroies, etc. nca","Rapes, etc. nep"
"ANG","Lophius americanus","American angler","Baudroie d'Amérique","Rape americano"
"ANI","Champsocephalus gunnari","Mackerel icefish","Poisson des glaces antarctique","Draco rayado"
"ANJ","Aristeus antillensis","Purplehead gamba prawn","Crevette pourprée","Gamba purpurea"
"ANK","Lophius budegassa","Blackbellied angler","Baudroie rousse","Rape negro"
"ANL","Labichthys carinatus","","",""
"ANM","Nemichthys scolopaceus","Slender snipe eel","",""
"ANN","Diplodus annularis","Annular seabream","Sparaillon commun","Raspallón"
"ANO","Annamia normani","","",""
"ANP","Anotopterus pharao","Daggertooth","Pharaon",""
"ANQ","Atherinomorus balabacensis","Balabac Island silverside","",""
"ANR","Lycengraulis grossidens","Atlantic sabretooth anchovy","Anchois goulard","Anchoa dentona"
"ANS","Pleuragramma antarcticum","Antarctic silverfish","Calandre antarctique","Diablillo antártico"
"ANT","Antimora rostrata","Blue antimora","Antimora bleu","Mollera azul"
"ANU","Nemichthys curvirostris","","",""
"ANV","Avocettina infans","Avocet snipe eel","",""
"ANW","Pomacanthidae","Angelfishes nei","Demoiselles nca","Angeles nep"
"ANX","Engraulidae","Anchovies, etc. nei","Anchois, etc. nca","Anchoas, etc. nep"
"ANY","Anabarilius polylepis","","",""
"ANZ","Aulotrachichthys novaezelandicus","","",""
"AOA","Achirophichthys kampeni","Freshwater snake-eel","",""
"AOB","Bascanichthys bascanoides","Sooty sand-eel","",""
"AOC","Aplatophis chauliodus","Fangtooth snake-eel","",""
"AOD","Dalophis obtusirostris","","",""
"AOE","Ahlia egmontis","Key worm eel","",""
"AOF","Herpetoichthys fossatus","Mustachioed snake-eel","",""
"AOG","Gordiichthys irretitus","Horsehair eel","",""
"AOH","Hemerorhinus opici","","",""
"AOI","Cirrhimuraena inhacae","Inhaca fringelip","",""
"AOJ","Cirricaecula johnsoni","","",""
"AOK","Apterichtus kendalli","","",""
"AOL","Caralophia loxochila","Slantlip eel","",""
"AOM","Echelus myrus","Painted eel","Serpenton miro","Congrio pintado"
"AON","Atherinops affinis","Topsmelt silverside","",""
"AOO","Callechelys catostomus","","",""
"AOP","Aprognathodon platyventris","Stripe eel","",""
"AOQ","Lamnostoma polyophthalma","","",""
"AOR","Ethadophis byrnei","Ordinary eel","",""
"AOS","Evips percinctus","","",""
"AOT","Caecula pterygera","Finny snake eel","",""
"AOU","Echiophis punctifer","Stippled spoon-nose eel","",""
"AOV","Elapsopis versicolor","","",""
"AOW","Aeoliscus punctulatus","Speckled shrimpfish","",""
"AOX","Ichthyapus acuticeps","Sharpnose sand-eel","",""
"AOY","Brachysomophis crocodilinus","Crocodile snake eel","",""
"AOZ","Leiuranus semicinctus","Saddled snake-eel","",""
"APA","Apristurus manis","Ghost catshark","Holbiche fantôme","Pejegato fantasma"
"APB","Acipenser baerii","Siberian sturgeon","Esturgeon de Sibérie","Esturión de Siberia"
"APC","Apristurus saldanha","Saldanha catshark","Holbiche gatussau","Pejegato saldaña"
"APD","Apristurus indicus","Smallbelly catshark","Holbiche artouca","Pejegato índico"
"APE","Acipenser stellatus","Starry sturgeon","Esturgeon étoilé","Esturión estrellado"
"APF","Apristurus maderensis","Madeira catshark","Roussette de Madère","Pejegato de Madera"
"APG","Acipenser gueldenstaedtii","Danube sturgeon(=Osetr)","Esturgeon du Danube","Esturión del Danube"
"APH","Aphanopus intermedius","Intermediate scabbardfish","Poisson-sabre tachuo","Sable intermedio"
"API","Apristurus spp","Deep-water catsharks","Holbiches","Pejegatos"
"APJ","Apristurus sibogae","Pale catshark","Holbiche pâle","Pejegato paliducho"
"APK","Apristurus parvipinnis","Smallfin catshark","Holbiche petites ailes","Pejegato mocho"
"APL","Plantae aquaticae","Aquatic plants nei","Plantes aquatiques nca","Plantas acuáticas nep"
"APM","Apristurus macrostomus","","",""
"APN","Acipenser transmontanus","White sturgeon","Esturgeon blanc","Esturión blanco"
"APO","Apogonidae","Cardinalfishes, etc. nei","Apogonidés nca","Peces cardenal, etc. nep"
"APP","Apristurus profundorum","Deep-water catshark","Holbiche papoila","Pejegato abisal"
"APQ","Apristurus laurussonii","Iceland catshark","",""
"APR","Acipenser ruthenus","Sterlet sturgeon","Sterlet","Esterlete"
"APS","Penaeus duorarum","Northern pink shrimp","Crevette rose du Nord","Camarón rosado norteño"
"APU","Acipenser sturio","Sturgeon","Esturgeon commun","Esturión"
"APV","Apristurus investigatoris","Broadnose catshark","Holbiche platnez","Pejegato ñato"
"APW","Apristurus nasutus","Largenose catshark","Holbiche cyrano","Pejegato hocicón"
"APX","Apristurus microps","Smalleye catshark","Holbiche porc","Pejegato puerco"
"APY","Apristurus micropterygeus","","",""
"APZ","Apristurus platyrhynchus","Spatulasnout catshark","Holbiche spatule","Pejegato espatulado"
"AQA","Acentronura australe","Southern little pipehorse","",""
"AQB","Acanthurus bahianus","Ocean surgeon","",""
"AQC","Asquamiceps caeruleus","","",""
"AQD","Apeltes quadracus","Fourspine stickleback","",""
"AQE","Aequorea aequorea","","",""
"AQF","Mactra californica","Californian mactra","Mactre californienne","Mactra californiana"
"AQG","Mactra largillierti","Largilliert's mactra","Mactre de Largilliert","Mactra de Largilliert"
"AQH","Acanthurus chirurgus","Doctorfish","",""
"AQI","Acanthurus lineatus","Lined surgeonfish","",""
"AQJ","Mactra nitida","Polished mactra","Mactre polie","Mactra pulida"
"AQK","Caquetaia kraussii","","",""
"AQL","Adelosebastes latens","","",""
"AQM","Amphipoda","Amphipods","",""
"AQN","Acanthurus nigrofuscus","Brown surgeonfish","",""
"AQO","Acanthurus coeruleus","Blue tang surgeonfish","",""
"AQP","Aequidens portalegrensis","","",""
"AQQ","Acanthurus gahhm","Black surgeonfish","",""
"AQR","Acanthurus bariene","Black-spot surgeonfish","",""
"AQS","Mactra rostrata","Rostrate mactra","Mactre à rostre","Mactra puntiaguda"
"AQT","Acanthurus triostegus","Convict surgeonfish","",""
"AQU","Aequidens pulchrus","Blue acara","",""
"AQV","Acanthurus olivaceus","Orangespot surgeonfish","",""
"AQW","Mactra velata","Concealed surf clam","Mactre voile","Mactra velada"
"AQX","Aetobatus spp","","",""
"AQY","Asprocottus abyssalis","","",""
"AQZ","Antipatharia","Black corals and thorny corals","",""
"ARA","Aristeus antennatus","Blue and red shrimp","Crevette rouge","Gamba rosada"
"ARB","Ariosoma balearicum","Bandtooth conger","",""
"ARC","Acrocheilus alutaceus","Chiselmouth","",""
"ARD","Arcos decoris","Elegant clingfish","",""
"ARE","Argentina elongata","","",""
"ARF","Atheresthes stomias","Arrow-tooth flounder","Faux flétan du Pacifique","Halibut del Pacífico"
"ARG","Argentina spp","Argentines","Argentines","Argentinas"
"ARH","Neolissochilus hexagonolepis","Copper mahseer","",""
"ARI","Aristeidae","Aristeid shrimps nei","Gambons,crevet. aristeidés nca","Gambas aristeidos nep"
"ARJ","Ascelichthys rhodorus","Rosylip sculpin","",""
"ARK","Arca spp","Ark clams nei","Arches nca","Arcas nep"
"ARL","Argonectes longiceps","","",""
"ARM","Arenicola marina","Lugworm","","Capbreton"
"ARN","Ariosoma anago","Silvery conger","",""
"ARO","Argentina kagoshimae","","",""
"ARP","Arapaima gigas","Arapaima","Pirarucu","Paiche"
"ARQ","Aphareus rutilans","Rusty jobfish","Vivaneau rouillé","Pargo bermellón"
"ARR","Aspidoparia morar","","",""
"ARS","Aristaeomorpha foliacea","Giant red shrimp","Gambon rouge","Gamba española"
"ART","Artedidraco spp","","",""
"ARU","Argentina silus","Greater argentine","Grande argentine",""
"ARV","Aristeus varidens","Striped red shrimp","Gambon rayé","Gamba listada"
"ARW","Austrolethops wardi","Small-eyed goby","",""
"ARX","Archolaemus blax","","",""
"ARY","Argentina sphyraena","Argentine","Petite argentine","Pez plata"
"ARZ","Apistogramma agassizii","","",""
"ASA","Arripis trutta","Australian salmon","Saumon australien","Salmón de Australia"
"ASB","Serrivomer beani","Bean's sawtooth eel","",""
"ASD","Alosa alosa","Allis shad","Alose vraie(=Grande alose)","Sábalo común"
"ASE","Apristurus stenseni","Panama ghost catshark","Holbiche nébuleuse","Pejegato panameño"
"ASF","Stemonidium hypomelas","Black serrivomerid eel","",""
