ALPHA3CODE,FULL_NAME_E,FULL_NAME_F,FULL_NAME_S,SCIENTIFIC_NAME,AUTHOR
DCC,Shortfin scad,Comète fine,Macarela alicorta,Decapterus macrosoma,Bleeker 1851
DCD,Amberstripe scad,,,Decapterus muroadsi,(Temminck & Schlegel 1844)
DCT,Roughear scad,Comète queue rouge,Macarela rabo colorado,Decapterus tabl,Berry 1968
DCN,Largescale wrasse,,,Decodon grandisquamis,(Smith 1968)
GDO,Urchin clingfish,,,Dellichthys morelandi,Briggs 1955
DDG,,,,Deltadoras guayoensis,Fernández-Yépez 1968
RDU,Longnose stingray,,,Dasyatis guttata,(Bloch & Schneider 1801)
RDK,Blue-spotted stingray,,,Dasyatis kuhlii,(Müller & Henle 1841)
RDO,Mekong stingray,,,Dasyatis laosensis,Roberts & Karnasuta 1987
RDT,,,,Dasyatis latus,Garman 1880
RDY,Painted maskray,,,Dasyatis leylandi,Last 1987
RDL,Longtail stingray,Pastenague queue longue,Raya látigo coluda,Dasyatis longa,(Garman 1880)
RDS,Daisy stingray,,,Dasyatis margarita,(Günther 1870)
RDE,,,,Dasyatis margaritella,Compagno & Roberts 1984
RDQ,,,,Dasyatis marmorata,(Steindachner 1892)
JDM,,,,Dasyatis matsubarai,Miyosi 1939
RDP,Smalleye stingray,,,Dasyatis microps,(Annandale 1908)
JDP,Common stingray,Pastenague commune,Raya látigo común,Dasyatis pastinaca,(Linnaeus 1758)
JDR,,,,Dasyatis rudis,(Günther 1870)
JDS,Atlantic stingray,,,Dasyatis sabina,(Lesueur 1824)
JDY,Bluntnose stingray,,,Dasyatis say,(Lesueur 1817)
JDT,Thorntail stingray,,,Dasyatis thetidis,Ogilby 1899
JDO,Tortonese's stingray,,,Dasyatis tortonesei,Capapé 1975
RDW,,,,Dasyatis ukpam,(Smith 1863)
RDX,,,,Dasyatis ushiei,Jordan & Hubbs 1925
RDZ,Pale-edged stingray,,,Dasyatis zugei,(Müller & Henle 1841)
DYT,Spinyhead sculpin,,,Dasycottus setiger,Bean 1890
DJA,,,,Davidijordania abei,Matsubara 1936
CDM,Day's round herring,,,Dayella malabarica,(Day 1873)
PZQ,,,,Paraliparis rossi,Chernova & Eastman 2001
GSX,,,,Gonostoma spp,
BUH,,,,Barbus haasi,Mertens 1925
BUO,Spotscale barb,,,Barbus holotaenia,Boulenger 1904
BUJ,,,,Barbus johnstonii,Boulenger 1907
BUL,Line-spotted barb,,,Barbus lineomaculatus,Boulenger 1903
BBV,Somalian blind barb,,,Barbopsis devecchii,di Caporiacco 1926
BBF,Velvet whalefish,,,Barbourisia rufa,Parr 1945
BTD,,,,Barbucca diabolica,Roberts 1989
BUN,,,,Barbus longiceps,Valenciennes 1842
BUI,Broadband barb,,,Barbus macrotaenia,Worthington 1933
BUQ,Largescale yellowfish,,,Barbus marequensis,Smith 1841
BSM,Papermouth,,,Barbus mattozi,Guimaraes 1884
BUD,Mediterranean barbel,,,Barbus meridionalis,Risso 1827
BUY,,,,Barbus neumayeri,Fischer 1884
BUU,Straightfin barb,,,Barbus paludinosus,Peters 1852
BSI,,,,Barbus perince,Rüppell 1836
BSJ,,,,Barbus plebejus,Bonaparte 1839
BSL,Andalusian barbel,,Barbo andaluz,Luciobarbus sclateri,(Günther 1868)
BST,Threespot barb,,,Barbus trimaculatus,Peters 1852
BSO,,,,Barbus tropidolepis,Boulenger 1900
BSN,Slender barb,,,Barbus unitaeniatus,Günther 1866
BRR,,,,Barilius bakeri,Day 1865
BRL,,,,Barilius barila,(Hamilton 1822)
BLA,,,,Barilius barna,(Hamilton 1822)
BBC,,,,Barboides gracilis,Brüning 1929
BEM,Gafftopsail sea catfish,,,Bagre marinus,(Mitchill 1815)
BEI,Chilhuil sea catfish,,,Bagre panamensis,(Gill 1863)
BEC,Red sea catfish,,,Bagre pinnimaculatus,(Steindachner 1877)
BGH,Blacklancer catfish,,,Bagrichthys hypselopterus,(Bleeker 1852)
BGM,False black lancer,,,Bagrichthys macropterus,(Bleeker 1853)
BGL,,,,Bagroides melapterus,Bleeker 1851
BPR,,,,Bagropsis reinhardti,Lütken 1874
BGJ,Bayad,,,Bagrus bajad,(Forsskål 1775)
BGK,Semutundu,,,Bagrus docmak,(Forsskål 1775)
BGE,,,,Bagrus meridionalis,Günther 1894
BHC,Chaptis bahaba,,,Bahaba chaptis,(Hamilton 1822)
BHJ,Chinese bahaba,,,Bahaba taipingensis,(Herre 1932)
BCK,,,,Baileychromis centropomoides,(Bailey & Stewart 1977)
BIH,Ground croaker,,,Bairdiella ronchus,(Cuvier 1830)
AJB,,,,Bajacalifornia burragei,Townsend & Nichols 1925
BNB,Tricolor sharkminnow,,,Balantiocheilos melanopterus,(Bleeker 1851)
BID,Orange-lined triggerfish,,,Balistapus undulatus,(Park 1797)
BIY,Finescale triggerfish,,,Balistes polylepis,Steindachner 1876
BLV,Queen triggerfish,,,Balistes vetula,Linnaeus 1758
BDK,Clown triggerfish,,,Balistoides conspicillum,(Bloch & Schneider 1801)
BTA,,,,Balitora annamitica,Kottelat 1988
BNE,,,,Bangana behri,(Fowler 1937)
BJB,,,,Banjos banjos,(Richardson 1846)
OBI,,,,Barathrites iris,Zugmayer 1911
BTL,,,,Barathronus maculatus,Shcherbachev 1976
PBC,Palebelly searsid,,,Barbantus curvifrons,(Roule & Angel 1931)
BTB,Stone loach,,,Barbatula barbatula,(Linnaeus 1758)
BRN,,,,Barbichthys nitidus,Sauvage 1878
BBA,Red tailed tinfoil,,,Barbonymus altus,(Günther 1868)
BBR,,,,Barbodes balleroides,(Valenciennes 1842)
BBT,,,,Barbodes platysoma,(Bleeker 1855)
AXA,Carmine triplefin,,,Axoclinus carminalis,(Jordan & Gilbert 1882)
AZE,Galapagos damsel,,,Azurina eupalama,Heller & Snodgrass 1903
AZP,Banded-fin flounder,,,Azygopus pinnifasciatus,Norman 1926
BDB,Badis,,,Badis badis,(Hamilton 1822)
YMV,Indian lined shrimp,Bouc rayé indien,Camarón rayado indio,Lysmata vittata,(Stimpson 1860)
IRI,Friendly spine shrimp,Bouc épineux,Camarón saborete espinudo,Spirontocaris lilljeborgii,(Danielssen 1859)
IRS,Parrot shrimp,Bouc perroquet,Camarón loro,Spirontocaris spinus,(Sowerby 1805)
NCF,African spider shrimp,Crevette araignée d'Afrique,Camarón araña africano,Nematocarcinus africanus,Crosnier & Forest 1973
YFN,Changallo shrimp,Bouquet changallo,Camarón changallo,Cryphiops caementarius,(Molina 1782)
XPA,Cipango prawn,Bouquet cipango,Camarón cipango,Exopalaemon annandalei,(Kemp 1917)
EXN,Mamtom prawn,Bouquet mamtom,Camarón mamtom,Exopalaemon mani,(Sollaud 1914)
HSQ,Tsuno shrimp,Bouc suno,Camarón suno,Heptacarpus pandaloides,(Stimpson 1860)
LUQ,Hoso shrimp,Bouc oso,Camarón oso,Latreutes acicularis,Ortmann 1890
TIU,,,,Trachinops brauni,Allen 1977
TCI,Southern pompano,Pompaneau africain,Pámpano africano,Trachinotus africanus,Smith 1967
TCK,Oyster pompano,,,Trachinotus anak,Ogilby 1909
TBA,Small spotted dart,Pompaneau muscadin,Pámpano abotonado,Trachinotus baillonii,(Lacépède 1801)
TCN,Cayenne pompano,Pompaneau cordonnier,Pámpano zapatero,Trachinotus cayennensis,Cuvier 1832
TCP,Swallowtail dart,,,Trachinotus coppingeri,Günther 1884
TNF,Permit,Pompaneau plume,Pámpano palometa,Trachinotus falcatus,(Linnaeus 1758)
TOG,Longfin pompano,Pompaneau tacheté,Pámpano cojonovo,Trachinotus goreensis,Cuvier 1832
TOI,Plata pompano,Pompaneau du Plate,Pámpano de la Plata,Trachinotus marginatus,Cuvier 1832
TOO,Guinean pompano,Pompaneau chévron,Pámpano galonero,Trachinotus maxillosus,Cuvier 1832
TTV,Common torpedo,Torpille ocellée,Tremolina,Torpedo torpedo,(Linnaeus 1758)
TTW,Chilean torpedo,,Temblara,Torpedo tremens,de Buen 1959
TQA,,,,Torquigener altipinnis,(Ogilby 1891)
TSI,Threadtail anthias,,,Tosana niwae,Smith & Pope 1906
PNR,Tropical longfin herring,Menhaden plat,Sardinela pelada,Neoopisthopterus tropicus,(Hildebrand 1946)
JIC,Jonah's icefish,,,Neopagetopsis ionah,Nybelin 1947
NPW,Whiskered prowfish,,,Neopataecus waterhousii,(Castelnau 1872)
NEG,Pale toadfish,,,Neophrynichthys angustus,Nelson 1977
NPF,,,,Neoplecostomus franciscoensis,Langeani 1990
NPZ,Yellowtail demoiselle,,,Neopomacentrus azysron,(Bleeker 1877)
RNA,,,,Neoraja africana,(Stehmann & Seret 1983)
RNS,African pygmy skate,,,Neoraja stehmanni,(Hulley 1972)
SNJ,,,,Neosalanx jordani,Wakiya & Takahashi 1937
NSY,Silver splitfin,,,Neoscombrops cynodon,(Regan 1921)
NSM,Large-scaled lantern fish,,,Neoscopelus macrolepidotus,Johnson 1863
NSH,Stone-bream,,,Neoscorpis lithophilus,(Gilchrist & Thompson 1908)
NNX,Orange-banded scorpionfish,,,Neosebastes entaxis,Jordan & Starks 1904
NSA,Silver tandan,,,Neosilurus argenteus,(Zietz 1896)
NST,Narrowfront tandan,,,Neosilurus ater,(Perugia 1894)
NSB,Shortfin tandan,,,Neosilurus brevidorsalis,(Günther 1867)
NSR,,,,Neostethus amaricola,(Villadolid & Manacop 1934)
NSJ,Japanese dragonet,,,Neosynchiropus ijimai,(Jordan & Thompson 1914)
NPK,,,,Neotropius khavalchor,Kulkarni 1952
NZN,,,,Neozoarces steindachneri,Jordan & Snyder 1902
CNN,Sicklefin chimaera,,,Neoharriotta pinnata,(Schnakenbeck 1931)
NHC,,,,Neoheterandria cana,(Meek & Hildebrand 1913)
NEJ,,,,Neohomaloptera johorensis,(Herre 1944)
NLM,Crosseyed flounder,,,Neolaeops microphthalmus,(von Bonde 1922)
NRU,,,,Neolamprologus boulengeri,(Steindachner 1909)
NLA,,,,Neolebias ansorgii,Boulenger 1912
YLJ,Aesop slipper lobster,,,Scyllarides haanii,(De Haan 1841)
YLG,Easter Island slipper lobster,,,Scyllarides roggeveeni,Holthuis 1967
YLC,Clamkiller slipper lobster,,,Scyllarides tridacnophaga,Holthuis 1967
RSD,Rough spanish lobster,Cigale rugueuse,,Arctides antipodarum,Holthuis 1960
RCK,Royal spanish lobster,Cigale royale,Cigarra real,Arctides regalis,Holthuis 1963
EVS,Shield fan lobster,Cigale écusson,Cigarro chato,Evibacus princeps,S.I. Smith 1869
NLG,Spotted spiny lobster,Langouste brésilienne,Langosta moteada,Panulirus guttatus,(Latreille 1804)
NUL,Smoothtail spiny lobster,Langouste indienne,Langosta verde,Panulirus laevicauda,(Latreille 1817)
NUE,Brown spiny loster,Langouste brune,Langosta marrón,Panulirus echinatus,Smith 1869
NUP,Pronghorn spiny lobster,Langouste fourchette,Langosta horquilla,Panulirus penicillatus,(Olivier 1791)
AYI,Bengal corvina,,,Daysciaena albida,(Cuvier 1830)
SDH,Rough longnose dogfish,Squale-savate rude,Tollo raspa,Deania hystricosa,(Garman 1906)
SDU,Arrowhead dogfish,Squale-savate lutin,Tollo flecha,Deania profundorum,(Smith & Radcliffe 1912)
SDQ,Longsnout dogfish,,,Deania quadrispinosa,(McCulloch 1915)
DAJ,,,,Dadyanos insignis,(Steindachner 1898)
BDD,Dow's toadfish,,,Daector dowi,(Jordan & Gilbert 1887)
DAK,,,,Dagetichthys lakdoensis,Stauch & Blanc 1964
DAP,Alaska blackfish,,,Dallia pectoralis,Bean 1880
AOD,,,,Dalophis obtusirostris,Blache & Cadenat 1972
DYG,,,,Danacetichthys galathenus,Paxton 1989
DKF,,,,Danakilia franchettii,(Vinciguerra 1931)
SDO,Bottlelights,,,Danaphos oculatus,(Garman 1899)
DYF,,,,Danaphryne nigrifilis,(Regan & Trewavas 1932)
DAE,Giant danio,,,Danio aequipinnatus,(McClelland 1839)
DAD,,,,Danio dangila,(Hamilton 1822)
DAV,Sind danio,,,Danio devario,(Hamilton 1822)
DAF,Leopard danio,,,Danio frankei,(Meinken 1963)
DAI,Zebra danio,,,Danio rerio,(Hamilton 1822)
DAT,,,,Danionella translucida,Roberts 1986
ODT,Australian tusk,,,Dannevigia tusca,Whitley 1941
DUM,,,,Daruma sagamia,Jordan & Starks 1904
DAA,Hawaiian dascyllus,,,Dascyllus albisella,Gill 1862
DAU,Whitetail dascyllus,,,Dascyllus aruanus,(Linnaeus 1758)
BFA,Southern barred triplefin,,,Brachynectes fasciatus,Scott 1957
BPA,,,,Brachypetersius altus,(Boulenger 1899)
BPF,Kumakuma,,,Brachyplatystoma filamentosum,(Lichtenstein 1819)
BPV,Gilded catfish,,,Brachyplatystoma flavicans,(Castelnau 1855)
BGI,Rockhead,,,Bothragonus swanii,(Steindachner 1876)
BOL,,,,Bothrocara alalongum,(Garman 1899)
BCF,,,,Bothrocarina microcephala,(Schmidt 1938)
OHT,Pacific eyed flounder,,,Bothus constellatus,(Jordan 1889)
OTL,,,,Bothus lunatus,(Linnaeus 1758)
BWM,Mottled flounder,,,Bothus maculiferus,(Poey 1860)
BTK,,,,Bothus mancus,(Broussonet 1782)
OUO,Eyed flounder,,,Bothus ocellatus,(Agassiz 1831)
OUN,Leopard flounder,Rombou léopard,Lenguado leopardo,Bothus pantherinus,(Rüppell 1830)
OUB,Wide-eyed flounder,,,Bothus podas,(Delaroche 1809)
BOD,Bengal loach,,,Botia dario,(Hamilton 1822)
BOH,Tiger loach,,,Botia hymenophysa,(Bleeker 1852)
BOV,,,,Boulengerella cuvieri,(Spix & Agassiz 1829)
BEJ,Giant cichlid,,,Boulengerochromis microlepis,(Boulenger 1899)
OMB,,,,Boulengeromyrus knoepffleri,Taverne & Géry 1968
BVE,,,,Bovichtus elongatus,(Hureau & Tomo 1977)
OBW,Blind shark,Requin aveugle des roches,Tiburón ciego de roca,Brachaelurus waddi,(Bloch & Schneider 1801)
BJK,Pigmy leatherjacket,,,Brachaluteres jacksonianus,(Quoy & Gaimard 1824)
BHH,,,,Brachionichthys hirsutus,(Lacépède 1804)
BJN,,,,Brachyamblyopus anotus,(Franz 1910)
BDA,,,,Brachydanio acuticephala,(Hora 1921)
BEO,Crested sculpin,,,Blepsias bilobus,Cuvier 1829
BDI,Mexican hogfish,,,Bodianus diplotaenia,(Gill 1862)
BDE,Harlequin wrasse,,,Bodianus eclancheri,(Valenciennes 1846)
BGG,Goonch,,,Bagarius bagarius,(Hamilton 1822)
BEB,Coco sea catfish,,,Bagre bagre,(Linnaeus 1766)
UFT,Goldribbon soapfish,,,Aulacocephalus temmincki,Bleeker 1854
AJP,,,,Aulichthys japonicus,Brevoort 1862
AUK,Kanakorum catshark,,,Aulohalaelurus kanakorum,Séret 1990
AUL,Australian blackspot catshark,Chien à taches noires,Pejegato estrellado,Aulohalaelurus labiosus,(Waite 1905)
LMP,Megamouth shark,Requin grande guele,Tiburón bocudo,Megachasma pelagios,"Taylor, Compagno & Struhsaker 1983"
MDC,,,,Megadontognathus cuyuniense,Mago-Leccia 1994
MGP,,,,Megalechis personata,(Ranzani 1842)
MEE,Belligerent sculpin,,,Megalocottus platycephalus,(Pallas 1814)
MGW,,,,Megalodoras irwini,Eigenmann 1925
MGG,,,,Megalonema argentina,(MacDonagh 1938)
MGF,,,,Megalonibea fusca,"Chu, Lo & Wu 1963"
MPP,Catarina pupfish,,,Megupsilon aporus,Miller & Walters 1972
MHB,,,,Meiacanthus abditus,Smith-Vaniz 1987
MKE,,,,Mekongina erythrospila,Fowler 1937
MMT,Slender bigscale,,Melánfido,Melamphaes acanthomus,Ebeling 1962
MNY,Thickscale silverside,,,Melaniris pachylepis,(Günther 1864)
MEJ,Humpback anglerfish,,,Melanocetus johnsoni,Günther 1864
MEB,,,,Melanocharacidium blennioides,(Eigenmann 1909)
MJT,Golden mbuna,,,Melanochromis auratus,(Boulenger 1897)
MJH,Bluegray mbuna,,,Melanochromis johannii,(Eccles 1973)
MLG,Pelagic cod,,,Melanonus gracilis,Günther 1878
RMB,Giant manta,Mante géante,Manta gigante,Manta birostris,(Walbaum 1792)
MVF,,,,Maravichromis formosus,(Trewavas 1935)
OMR,,,,Marcusenius abadii,(Boulenger 1901)
OMA,Bulldog,,,Marcusenius macrolepidotus,(Peters 1852)
MGM,Pearl dace,,,Margariscus margarita,(Cope 1867)
MTO,,,,Margrethia obtusirostra,Jespersen & Tåning 1919
MYW,,,,Marilyna darwinii,(Castelnau 1873)
MBC,Comb flounder,,,Marleyella bicolorata,(von Bonde 1922)
MBY,Orange pipefish,,,Maroubra yasudai,Dawson 1983
MAY,Flagfin prawn goby,,,Mahidolia mystacina,(Valenciennes 1837)
MBV,Quakerfish,,,Malacanthus brevirostris,Guichenot 1848
MLL,Softhead grenadier,,,Malacocephalus laevis,(Lowe 1843)
MLO,Western softhead grenadier,,,Malacocephalus occidentalis,Goode & Bean 1885
MGV,,,,Malacocottus gibber,Sakamoto 1930
MTF,,,,Malacoctenus africanus,Cadenat 1951
MRV,,,,Malacoctenus versicolor,(Poey 1876)
MGL,,,,Malacoglanis gelatinosus,Myers & Weitzman 1966
RJP,Soft skate,Raie peau hérissée,Raya piel áspera,Malacoraja spinacidermis,(Barnard 1923)
MCN,Stoplight loosejaw,,,Malacosteus niger,Ayres 1848
MKW,,,,Malakichthys wakiyae,Valenciennes 1835
MPC,Electric catfish,,,Malapterurus electricus,(Gmelin 1789)
MPI,Smallmouth electric catfish,,,Malapterurus microstoma,Poll & Gosse 1969
MTK,Spotted gourami,,,Malpulutta kretseri,Deraniyagala 1937
MTA,,,,Malthopsis annulifera,Tanaka 1908
MOQ,,,,Malvoliophis pinguis,(Günther 1872)
MMM,Antarctic armless flounder,Mancoglosse antarctique,Mancolenguado antártico,Mancopsetta maculata,Kotlyar 1978
PAZ,Finless flounder,,,Mancopsetta milfordi,Penrith 1965
JAH,Longnose skate,,Raya narigona,Raja rhina,(Jordan & Gilbert 1880)
JFB,Bigmouth skate,,,Raja robertsi,Hulley 1970
RFO,Rondelet's ray,,,Raja rondeleti,Bougis 1959
RFX,,,,Raja rouxi,Capapé 1977
JFC,,,,Raja schmidti,Ishiyama 1958
RFS,Roughbelly skate,,,Raja springeri,Wallace 1967
JFS,,,,Raja lentiginosa,Bigelow & Schroeder 1951
RFT,Starry skate,,,Raja stellulata,(Jordan & Gilbert 1880)
RFY,Prow-nose skate,,,Raja stenorhynchus,Wallace 1967
RFL,Spotted skate,,,Raja straeleni,Poll 1951
RFA,,,,Raja taaf,Meissner 1987
JAB,Prickly brown ray,,,Raja teevani,Bigelow & Schroeder 1951
JAE,,,,Raja tengu,Jordan & Fowler 1903
JAF,Roundel skate,,,Raja texana,Chandler 1921
JFM,Thornback skate,,,Raja lemprieri,Richardson 1845
JRL,Bullis skate,,,Raja bullisi,Bigelow & Schroeder 1962
JRM,Blackspot skate,,,Raja campbelli,Wallace 1967
JRT,Spotback skate,,Raya a lunares,Raja castelnaui,Miranda-Ribeiro 1907
JRD,Munchskin skate,,,Raja caudaspinosa,Von Bonde & Swart 1923
JRV,White-spotted skate,,,Raja cerva,Whitley 1939
JRG,Finspot ray,,,Raja cervigoni,Bigelow & Schroeder 1964
JRR,,,,Raja clarkii,Bigelow & Schroeder 1958
JRJ,,,,Raja compagnoi,Stehmann 1995
JRE,Bigthorn skate,Raie grand épine,Raya de grande espina,Rajella barnardi,(Norman 1935)
JRZ,Cortez' ray,,,Raja cortezensis,McEachran & Miyake 1988
JRY,Eyespot skate,,Raya de círculos,Raja cyclophora,Regan 1903
JRX,,,,Raja dageti,Capapé 1977
JRQ,Ghost skate,,,Raja dissimilis,Hulley 1970
JFD,Violet skate,,,Raja doutrei,Cadenat 1960
JFE,Clearnose skate,,,Raja eglanteria,Bosc 1800
JFQ,Ecuatorial ray,,,Raja equatorialis,Jordan & Bollman 1890
JFF,,,,Raja fuliginea,Bigelow & Schroeder 1954
JFG,Freckled skate,,,Raja garmani,Whitley 1939
JFI,,,,Raja gigas,Ishiyama 1958
JFU,Greenback skate,,,Raja gudgeri,(Whitley 1940)
JFH,,,,Raja heemstrai,McEachran & Fechhelm 1982
JFW,,,,Raja herwigi,Krefft 1965
JFO,,,,Raja hollandi,Jordan & Richardson 1909
RJG,Arctic skate,Raie arctique,Raya ártica,Raja hyperborea,Collett 1879
JFN,,,,Raja innominata,Garrick & Paul 1974
JFR,California ray,,,Raja inornata,Jordan & Gilbert 1881
RJJ,Shorttail skate,Raie à queue courte,,Raja jenseni,Bigelow & Schroeder 1950
JFJ,,,,Raja johannisdavisi,Alcock 1899
JFK,,,,Raja kenojei,Müller & Henle 1841
JFT,Krefft's ray,Raie de Krefft,Raya de Krefft,Malacoraja kreffti,(Stehmann 1977)
JFA,Rattail skate,,,Raja lanceorostrata,Wallace 1967
JRF,African ray,,,Raja africana,Capapé 1977
JRN,,,,Raja annandalei,Weber 1913
JRS,Mediterranean starry ray,Raie étoilée,Raya estrellada,Raja asterias,Delaroche 1809
JRU,Sydney skate,,,Raja australis,Macleay 1884
JRB,Broad skate,,,Raja badia,Garman 1899
JRH,Deep-water ray,,,Raja bathyphila,Holt & Byrne 1908
JRW,Bigelow's ray,,,Raja bigelowi,Stehmann 1978
OER,Karomo,,,Oreochromis karomo,(Poll 1948)
PJH,Chilean jagged lobster,Langouste chilienne,Langosta de Chile,Projasus bahamondei,George 1976
PJJ,Cape jagged lobster,,,Projasus parkeri,(Stebbing 1902)
URL,Banded whip lobster,Langouste fouet bandée,Langosta de fusta listada,Puerulus angulatus,(Bate 1888)
URV,Velvet whip lobster,Langouste fouet veloutée,Langosta de fusta velluda,Puerulus velutinus,Holthuis 1963
JUT,Gibbon furrow lobster,Langouste gibbon,,Justitia mauritiana,(Miers 1882)
JUJ,Japanese furrow lobster,,,Justitia japonica,(Kubo 1955)
INN,Spear lobster,Langouste javelot,Langosta jabalina,Linuparus somniosus,Berry & George 1972
IND,Oriental spear lobster,Langouste orientale,Langosta oriental,Linuparus sordidus,Bruce 1965
INJ,Japanese spear lobster,,,Linuparus trigonus,(Von Siebold 1824)
NRH,Cape Verde spiny lobster,Langouste de Cap Vert,Langosta de Cabo Verde,Palinurus charlestoni,Forest & Postel 1964
NLI,Banded spiny lobster,Langouste bordée,,Panulirus marginatus,(Quoy & Gaimard 1825)
NLQ,Easter Island spiny lobster,,,Panulirus pascuensis,Reed 1954
NFH,Saya de Malha lobsterette,,,Nephropsis malhaensis,Borradaile 1910
NFN,Ruby lobsterette,,,Nephropsis neglecta,Holthuis 1974
NFO,Pacific lobsterette,Langoustine du Pacifique,Cigala del Pacífico,Nephropsis occidentalis,Faxon 1893
THV,Bellator lobster,,,Thymopides grobovi,(Burukovsky & Averin 1976)
TQB,Southern lobsterette,Langoustine du Sud,Cigala del Sur,Thymops birsteini,(Zarenkov & Semenov 1972)
TQN,Nilenta lobsterette,,,Thymopsis nilenta,Holthuis 1974
JSP,St.Paul rock lobster,Langouste de St.Paul,Langosta de St.Paul,Jasus paulensis,(Heller 1862)
YAL,Beach flounder,,,Syacium latifrons,(Jordan & Gilbert 1882)
YAM,Channel flounder,,,Syacium micrurum,Ranzani 1842
SMP,,,,Symbolophorus barnardi,(Tåning 1932)
YFC,Grey wrasse,Crénilabre cendré,Bodión,Symphodus cinereus,(Bonnaterre 1788)
YFM,Corkwing wrasse,Crénilabre mélops,Porredana,Symphodus melops,(Linnaeus 1758)
YFO,,,,Symphodus ocellatus,Forsskål 1775
BDR,Spanish hogfish,,,Bodianus rufus,(Linnaeus 1758)
BOK,Cochu's blue tetra,,,Boehlkea fredcochui,Géry 1966
BOM,Boeseman croaker,,,Boesemania microlepis,(Bleeker 1858)
BMK,Green humphead parrotfish,Perroquet bossu vert,Loro cototo verde,Bolbometopon muricatum,(Valenciennes 1840)
BFI,,,,Boleophthalmus birdsongi,Murdy 1989
BNX,,,,Bolinichthys distofax,Johnson 1975
BLQ,White-eye goby,,,Bollmannia boqueronensis,Evermann & Marsh 1899
BPO,,,,Bonapartia pedaliota,Goode & Bean 1896
BOJ,Fransmadam,,,Boopsoidea inornata,Castelnau 1861
BOI,,,,Boraras brigittae,(Vogt 1978)
BDG,Borriqueta porgy,,,Boridia grossidens,Cuvier 1830
BRT,Snaggletooth,,,Borostomias antarcticus,(Lönnberg 1905)
BRM,,,,Borostomias mononema,(Regan & Trewavas 1929)
BKP,Nightfish,,,Bostockia porosa,Castelnau 1873
BCZ,Barred gudgeon,,,Bostrichthys zonatus,(Weber 1907)
OTN,,,,Bostrychus sinensis,Lacépède 1801
BMP,Greenstreaked eartheater,,,Biotodoma cupido,(Heckel 1840)
BIE,,,,Biotoecus opercularis,(Steindachner 1875)
BVB,,,,Bivibranchia bimaculata,Vari 1985
BWZ,,,,Biwia zezera,(Ishikawa 1895)
CBE,,,,Blachea xenobranchialis,Karrer & Smith 1980
BKG,Gill's sand lance,,Lanceta de arena plateado,Ammodytes gilli,(Bean 1895)
NLB,,,,Blenniella bilitonensis,(Bleeker 1858)
BEK,Lace klipfish,,,Blennioclinus brachycephalus,(Valenciennes 1836)
NUO,Butterfly blenny,,,Blennius ocellaris,Linnaeus 1758
BMS,,,,Blennodesmus scapularis,Günther 1872
BDO,Giant triplefin,,,Blennodon dorsale,(Clarke 1879)
BFG,Snaky klipfish,,,Blennophis anguillaris,(Valenciennes 1836)
BGB,,,,Belonoglanis brieni,Poll 1959
BPH,Arrowhead soapfish,,,Belonoperca chabanaudi,Fowler & Bean 1930
BEU,,,,Belonophago hutsebouti,Giltay 1929
EOH,Malay combtail,,,Belontia hasselti,(Cuvier 1831)
BMR,,,,Bembradium roseum,Gilbert 1905
BMJ,,,,Bembras japonicus,Cuvier 1829
KYO,,,,Crypthecodinium cohnii,(Seligo) Chatton
DFY,,,,Dinophyceae,
KEK,,,,Skeletonema costatum,Grev & Cleve
OZO,Neptune-grass,Posidonie méditerranéenne,Alga de vidrieros,Posidonia oceanica,(Linnaeus) Delile 1813
ZON,Dwarf eel-grass,Zostère naine,Zostera enana,Zostera noltii,Hornemann 1832
AFX,Sea nymph,,,Amphibolis antarctica,(Labillardière) Sonder & Ascherson ex Ascherson 1867
OZA,,,,Posidonia angustifolia,Cambridge & Kuo 1979
OZU,,,,Posidonia australis,Hooker 1858
GJW,Warty gracilaria,Gracilaire commune,Gracilaria común,Gracilaria verrucosa,(Hudson) Papenfuss 1950
HMW,Sea cactus,Monnaie de Poseidon,Tuna de mar,Halimeda tuna,(Ellis & Solander) Lamouroux 1824
LQD,Tangle,Laminaire digitée,,Laminaria digitata,(Hudson) Lamouroux 1813
LQX,Sea belt,Laminaire saccharine,,Laminaria saccharina,(Linnaeus) J.V. Lamouroux 1813
FUU,Toothed wrack,,,Fucus serratus,Linnaeus 1753
HLZ,Sea thong,,,Himanthalia elongata,(Linnaeus) S.F. Gray 1821
AJC,Babberlocks,Alimentaire varech,,Alaria esculenta,(Linnaeus) Greville 1830
MDE,,,,Mandibularca resinus,Herre 1924
MNW,,,,Mangarinus waterousi,Herre 1943
RMA,,,,Manta alfredi,(Krefft 1868)
OMQ,Barreleye,,,Macropinna microstoma,Chapman 1939
MLI,,,,Macropleurodus bicolor,(Boulenger 1906)
MRH,Roundtail paradisefish,,,Macropodus chinensis,(Bloch 1790)
MFG,Slender snipefish,,,Macroramphosus gracilis,(Lowe 1839)
MFP,Trumpetsnout spikefish,,,Macrorhamphosodes platycheilus,Fowler 1934
MNJ,,,,Macrospinosa cuja,(Hamilton 1822)
MRI,,,,Macrouroides inflaticeps,Smith & Radcliffe 1912
MCC,Ridge scaled rattail,,,Macrourus carinatus,(Günther 1878)
MCH,Bigeye grenadier,Grenadier à gros yeux,Granadero ojisapo,Macrourus holotrachys,Günther 1878
WGR,Whitson's grenadier,,,Macrourus whitsoni,(Regan 1913)
