"ISSCFG_Code","Identifier","Standard Abbreviation","Name_En","Name_Fr","Name_Es"
"08.2","225","FPO","Pots","Nasses (casiers)","Nasas"
"08.3","226","FYK","Fyke nets","Verveux","Garlitos"
"08.4","227","FSN","Stow nets","Filets à l'étalage (diables)","Butirones"
"08.5","228","FWR","Barriers, fences, weirs, etc.","Barrages, parcs, bordigues, etc.","Barretas, cercotes, corrales, etc."
"08.6","229","FAR","Aerial traps","Pièges aériens","Trampas aéreas"
"08.9","230","FIX","Traps (nei)","Pièges (non spécifiés)","Trampas (sin especificar)"
"09.4","231","LVT","Vertical lines","Lignes verticales","Líneas verticales"
"09.31","232","LLS","Set longlines","Palangres calées","Palangres calados"
"09.32","233","LLD","Drifting longlines","Palangres dérivantes","Palangres de deriva"
"09.39","234","LL","Longlines (nei)","Palangres (non spécifiées)","Palangres (sin especificar)"
"09.5","235","LTL","Trolling lines","Lignes de traîne","Curricanes"
"09.9","236","LX","Hooks and lines (nei)","Hameçons et lignes (non spécifiés)","Sedal y anzuelo (sin especificar)"
"10.1","237","HAR","Harpoons","Harpons","Arpones"
"10.3","238","MPM","Pumps","Pompes","Bombas"
"04.3","239","DRM","Mechanized dredges","Dragues mécanisées","Dragas mecanizadas"
"04.9","240","DRX","Dredges (nei)","Dragues (non spécifiés)","Rastras (sin especificar)"
"10.4","242","MEL","Electric fishing","Pêche électrique","Pesca eléctrica"
"99.9","245","NKX","Gear not known","Engins inconnus ou non specifiés","Artes desconocidos o no especificados"
"08.1","246","FPN","Stationary uncovered pound nets","Filets-pièges fixes non couverts","Almadrabas fijas descubiertas"
"07.4","247","GNF","Fixed gillnets (on stakes)","Filets maillants fixes (sur perches)","Redes de enmalle fijas (en estacas)"
"09.1","248","LHP","Handlines and hand-operated pole-and-lines","Lignes à main et lignes à cannes (manoeuvrées à la main)","Líneas de mano y caña (manuales)"
"01.1","249","PS","Purse seines","Filet tournants avec coulisse","Redes de cerco con jareta"
"07.6","252","GTN","Combined gillnets-trammel nets","Trémails et filets maillants combinés","Redes de enmalle-trasmallo"
"10.5","253","MPN","Pushnets","Pusseux; Troubles","Rastrillos; Angazas"
"10.6","254","MSP","Scoopnets","Epuissettes; Salabardes","Salabardos"
"05.3","255","LNS","Shore-operated stationary lift nets","Filets soulevés fixes manoeuvrés du rivage","Estacionarias de playa"
"03.11","305","TBB","Beam trawls","Chaluts à perche","Redes de arrastre de fondo - de vara"
"03.12","306","OTB","Single boat bottom otter trawls","Chaluts de fond à panneaux","Redes de arrastre de fondo - de puertas"
"03.15","307","PTB","Bottom pair trawls","Chaluts-boeufs de fond","Redes de arrastre de fondo - a la pareja"
"03.21","309","OTM","Single boat midwater otter trawls","Chaluts pélagiques à panneaux","Redes de arrastre pelágico - de puertas"
"03.22","310","PTM","Midwater pair trawls","Chaluts-boeufs pélagiques","Redes de arrastre pelágico - a la pareja"
"09.2","313","LHM","Mechanized lines and pole-and-lines","Lignes à main et lignes à cannes (mécanisées)","Líneas de mano y caña (mecanizadas)"
"10.2","315","MHI","Hand Implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)","Hand Implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)","Hand Implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)"
"10.7","325","MDR","Drive-in nets","Filets de rabattage","Redes de batir"
"10.8","326","MDV","Diving","Plonger","Buceo"
"03.29","400","TM","Midwater trawls (nei)","Chaluts pélagiques (non spécifiés)","Redes de arrastre pelágico - redes de arrastre pelágico (sin especificar)"
"06.9","440","FG","Falling gear (nei)","Autres engins retombants (non spécifiés)","Redes de caída (sin especificar)"
