"Abbreviation","Code","Identifier","Name_Ar","Name_En","Name_Es","Name_Fr"
"GNC","07.3","221","شباك التحويط الخيشومية","Encircling gillnets","Redes de batir de cerco","Filets maillants encerclants"
"GTR","07.5","223","الشباك الثلاثية (المبطّنة)","Trammel nets","Redes de trasmallo","Trémails"
"GEN","07.9","224","الشباك الخيشومية وشباك التشابك (غير مدرجة في موضع آخر)","Gillnets and entangling nets (nei)","Redes de enmalle y de enredo","Filets maillants et filets emmélants (non spécifiés)"
"FPO","08.2","225","الأقفاص","Pots","Nasas","Nasses (casiers)"
"FYK","08.3","226","الشباك الكيسية","Fyke nets","Garlitos","Verveux"
"FSN","08.4","227","شباك التخزين","Stow nets","Butirones","Filets à l'étalage (diables)"
"FWR","08.5","228","الحواجز والمصايد الثابتة (شباك الحجز)","Barriers, fences, weirs, etc.","Barretas, cercotes, corrales, etc.","Barrages, parcs, bordigues, etc."
"FAR","08.6","229","الفخاخ الجوية (السطحية)","Aerial traps","Trampas aéreas","Pièges aériens"
"FIX","08.9","230","الفخاخ (غير مدرجة في موضع آخر)","Traps (nei)","Trampas (sin especificar)","Pièges (non spécifiés)"
"LVT","09.4","231","الخيوط العمودية","Vertical lines","Líneas verticales","Lignes verticales"
"LLS","09.31","232","الخيوط الطويلة المثبتة","Set longlines","Palangres calados","Palangres calées"
"LLD","09.32","233","الخيوط الطويلة السطحية المنجرفة","Drifting longlines","Palangres de deriva","Palangres dérivantes"
"LL","09.39","234","الخيوط الطويلة (غير مدرجة في موضع آخر)","Longlines (nei)","Palangres (sin especificar)","Palangres (non spécifiées)"
"LTL","09.5","235","الخيوط المجرورة","Trolling lines","Curricanes","Lignes de traîne"
"LX","09.9","236","الصنانير والخيوط (غير مدرجة في موضع آخر)","Hooks and lines (nei)","Sedal y anzuelo (sin especificar)","Hameçons et lignes (non spécifiés)"
"HAR","10.1","237","الحراب والرماح","Harpoons","Arpones","Harpons"
"MPM","10.3","238","المضخات","Pumps","Bombas","Pompes"
"DRM","04.3","239","الجرافات الآلية لصيد المحاريات","Mechanized dredges","Dragas mecanizadas","Dragues mécanisées"
"DRX","04.9","240","جرافات صيد المحاريات (غير مدرجة في موضع آخر)","Dredges (nei)","Rastras (sin especificar)","Dragues (non spécifiés)"
"MEL","10.4","242","الصيد بالكهرباء","Electric fishing","Pesca eléctrica","Pêche électrique"
"NKX","99.9","245","معدات صيد غير معرفة","Gear not known","Artes desconocidos o no especificados","Engins inconnus ou non specifiés"
"FPN","08.1","246","شباك الفخ الثابتة وغير المغطاة","Stationary uncovered pound nets","Almadrabas fijas descubiertas","Filets-pièges fixes non couverts"
"GNF","07.4","247","الشباك الخيشومية المثبتة على الأعمدة","Fixed gillnets (on stakes)","Redes de enmalle fijas (en estacas)","Filets maillants fixes (sur perches)"
"LHP","09.1","248","الخيوط اليدوية والخيوط المشدودة في القصبة المسحوبة باليد","Handlines and hand-operated pole-and-lines","Líneas de mano y caña (manuales)","Lignes à main et lignes à cannes (manoeuvrées à la main)"
"PS","01.1","249","الشباك الجرافة الكبيرة","Purse seines","Redes de cerco con jareta","Filet tournants avec coulisse"
"GTN","07.6","252","الشباك الخيشومية-الثلاثية المدمجة","Combined gillnets-trammel nets","Redes de enmalle-trasmallo","Trémails et filets maillants combinés"
"MPN","10.5","253","الشباك الدفعية","Pushnets","Rastrillos; Angazas","Pusseux; Troubles"
"MSP","10.6","254","شباك الغرف","Scoopnets","Salabardos","Epuissettes; Salabardes"
"LNS","05.3","255","الشباك المرفوعة الثابتة التي تحرك من الشاطئ","Shore-operated stationary lift nets","Estacionarias de playa","Filets soulevés fixes manoeuvrés du rivage"
"TBB","03.11","305","شباك الجر القاعية المثبة على الأعمدة","Beam trawls","Redes de arrastre de fondo - de vara","Chaluts à perche"
"OTB","03.12","306","شباك الجر القاعية بالأبواب التي يتم مناورتها بمركب واحد","Single boat bottom otter trawls","Redes de arrastre de fondo - de puertas","Chaluts de fond à panneaux"
"PTB","03.15","307","شباك الجر القاعية الثنائية","Bottom pair trawls","Redes de arrastre de fondo - a la pareja","Chaluts-boeufs de fond"
"OTM","03.21","309","شباك الجر نصف السطحية التي يتم مناورتها بمركب واحد","Single boat midwater otter trawls","Redes de arrastre pelágico - de puertas","Chaluts pélagiques à panneaux"
"PTM","03.22","310","شباك الجر المزدوجة نصف السطحية","Midwater pair trawls","Redes de arrastre pelágico - a la pareja","Chaluts-boeufs pélagiques"
"LHM","09.2","313","الخيوط المجهزة بمعدة سحب والخيوط المشدودة في القصب","Mechanized lines and pole-and-lines","Líneas de mano y caña (mecanizadas)","Lignes à main et lignes à cannes (mécanisées)"
"MHI","10.2","315","الأدوات اليدوية (معدات الربط و السحب ، المشابك ، المكابس ، الرماح)","Hand Implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)","Hand Implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)","Engins à main (pinces, râteaux, lances)"
"MDR","10.7","325","شباك الاستدراج","Drive-in nets","Redes de batir","Filets de rabattage"
"MDV","10.8","326","الغوص","Diving","Buceo","Plongée"
"TM","03.29","400","شباك الجر نصف السطحية (غير مدرجة في موضع آخر)","Midwater trawls (nei)","Redes de arrastre pelágico - redes de arrastre pelágico (sin especificar)","Chaluts pélagiques (non spécifiés)"
"FG","06.9","440","الشباك المسقطة (غير مدرجة في موضع آخر)","Falling gear (nei)","Redes de caída (sin especificar)","Autres engins retombants (non spécifiés)"
