FAO ISSCFC ,Basic Level,Parent Code,ISSCAAP Code, HS 2012 , SITC3 Code, CPC 2.1, FAO ISSCFC description in English
034.1.4.3.90,1,034.1.4.3,23,0302.19,034.12,0422,"Salmonoids, fresh or chilled, nei"
034.1.4.4,0,034.1.4,24,0302.89,034.18,,"Shads, fresh or chilled"
034.1.4.4.10,1,034.1.4.4,24,0302.89,034.18,0429,"Shads, nei, fresh or chilled"
034.1.4.5,0,034.1.4,25,0302.89,034.18,,"Miscellaneous diadromous fish, fresh or chilled"
034.1.4.5.10,1,034.1.4.5,25,0302.89,034.18,0429,"Milkfish, fresh or chilled"
034.1.4.5.20,1,034.1.4.5,25,0302.89,034.18,0429,"Barramundi, fresh or chilled"
034.1.4.5.90,1,034.1.4.5,25,0302.89,034.18,0429,"Diadromous fish, fresh or chilled, nei"
034.1.5,0,034.1,39,0302.89,034.18,,"Marine fishes, fresh or chilled"
034.1.5.1,0,034.1.5,31,0302.29,034.13,,"Flounders, halibuts, soles, fresh or chilled"
034.1.5.1.11,1,034.1.5.1,31,0302.21,034.13,0423,"Atlantic halibut, fresh or chilled"
034.1.5.1.12,1,034.1.5.1,31,0302.21,034.13,0423,"Pacific halibut, fresh or chilled"
034.1.5.1.13,1,034.1.5.1,31,0302.21,034.13,0423,"Greenland halibut, fresh or chilled"
034.1.5.1.19,1,034.1.5.1,31,0302.21,034.13,0423,"Halibuts, fresh or chilled, nei"
034.1.5.1.25,1,034.1.5.1,31,0302.29,034.13,0423,"Bastard halibut, fresh or chilled"
034.1.5.1.31,1,034.1.5.1,31,0302.22,034.13,0423,"European plaice (Pleuronectes platessa), fresh or chilled"
034.1.5.1.32,1,034.1.5.1,31,0302.29,034.13,0423,"Alaska plaice, fresh or chilled"
034.1.5.1.33,1,034.1.5.1,31,0302.29,034.13,0423,"American plaice, fresh or chilled"
034.1.5.1.39,1,034.1.5.1,31,0302.29,034.13,0423,"Plaices, fresh or chilled, nei"
034.1.5.1.41,1,034.1.5.1,31,0302.29,034.13,0423,"Yellowfin sole, fresh or chilled"
034.1.5.1.42,1,034.1.5.1,31,0302.29,034.13,0423,"Yellowtail flounder, fresh or chilled"
034.1.5.1.43,1,034.1.5.1,31,0302.29,034.13,0423,"Common dab, fresh or chilled"
034.1.5.1.44,1,034.1.5.1,31,0302.29,034.13,0423,"Lemon sole, fresh or chilled"
034.1.5.1.45,1,034.1.5.1,31,0302.23,034.13,0423,"Common sole, fresh or chilled"
034.1.5.1.49,1,034.1.5.1,31,0302.23,034.13,0423,"Soles, fresh or chilled, nei"
034.1.5.1.50,1,034.1.5.1,31,0302.29,034.13,0423,"Flounder, fresh or chilled"
034.1.5.1.60,1,034.1.5.1,31,0302.29,034.13,0423,"Megrim, fresh or chilled"
034.1.5.1.70,1,034.1.5.1,31,0302.24,034.13,0423,"Turbot, fresh or chilled"
034.1.5.1.90,1,034.1.5.1,31,0302.29,034.13,0423,"Flatfish, fresh or chilled, nei"
034.1.5.2,0,034.1.5,32,0302.59,034.18,,"Cods, hakes, haddocks, fresh or chilled"
034.1.5.2.11,1,034.1.5.2,32,0302.51,034.16,0424,"Atlantic cod, fresh or chilled"
034.1.5.2.12,1,034.1.5.2,32,0302.51,034.16,0424,"Pacific cod, fresh or chilled"
034.1.5.2.13,1,034.1.5.2,32,0302.51,034.16,0424,"Greenland cod, fresh or chilled"
034.1.5.2.18,1,034.1.5.2,32,0302.59,034.18,0424,"Polar cod, fresh or chilled"
034.1.5.2.19,1,034.1.5.2,32,0302.51,034.16,0424,"Cods, fresh or chilled, nei"
034.1.5.2.30,1,034.1.5.2,32,0302.52,034.18,0424,"Haddock, fresh or chilled"
034.1.5.2.40,1,034.1.5.2,32,0302.53,034.18,0424,"Saithe (=Pollock), fresh or chilled"
034.1.5.2.45,1,034.1.5.2,32,0302.55,034.18,0424,"Alaska pollock, fresh or chilled"
034.1.5.2.50,1,034.1.5.2,32,0302.56,034.18,0424,"Blue whitings (Micromesistius poutassou, Micromesistius australis), fresh or chilled"
034.1.5.2.51,1,034.1.5.2,32,0302.56,034.18,0424,"Blue whiting (Micromesistius poutassou), fresh or chilled"
034.1.5.2.52,1,034.1.5.2,32,0302.56,034.18,0424,"Southern blue whiting (Micromesistius australis), fresh or chilled"
034.1.5.2.53,1,034.1.5.2,32,0302.59,034.18,0424,"Whiting (Merlangius merlangus), fresh or chilled"
034.1.5.2.61,1,034.1.5.2,32,0302.54,034.18,0424,"European hake, fresh or chilled"
034.1.5.2.62,1,034.1.5.2,32,0302.54,034.18,0424,"Chilean hake, fresh or chilled"
034.1.5.2.63,1,034.1.5.2,32,0302.54,034.18,0424,"Argentine hake, fresh or chilled"
034.1.5.2.64,1,034.1.5.2,32,0302.54,034.18,0424,"North Pacific hake, fresh or chilled"
034.1.5.2.65,1,034.1.5.2,32,0302.54,034.18,0424,"Cape hake, fresh or chilled"
034.1.5.2.66,1,034.1.5.2,32,0302.54,034.18,0424,"Silver hake, fresh or chilled"
034.1.5.2.67,1,034.1.5.2,32,0302.54,034.18,0424,"Southern hake, fresh or chilled"
034.1.5.2.68,1,034.1.5.2,32,0302.54,034.18,0424,"Hake of the genus Urophycis, fresh or chilled"
034.1.5.2.69,1,034.1.5.2,32,0302.54,034.18,0424,"Hake nei, fresh or chilled"
034.1.5.2.70,1,034.1.5.2,32,0302.59,034.18,0424,"Ling, fresh or chilled"
034.1.5.2.80,1,034.1.5.2,32,0302.59,034.18,0424,"Tusk, fresh or chilled"
034.1.5.2.85,1,034.1.5.2,32,0302.59,034.18,0424,"Grenadiers, fresh or chilled"
034.1.5.2.86,1,034.1.5.2,32,0302.59,034.18,0424,Fresh or chilled pollack (Pollachius pollachius)
034.1.5.2.90,1,034.1.5.2,32,0302.59,034.18,0424,"Gadiformes, fresh or chilled, nei"
034.1.5.3,0,034.1.5,33,0302.89,034.18,,"Miscellaneous coastal fish, fresh or chilled"
034.1.5.3.02,1,034.1.5.3,33,0302.89,034.18,0429,"Sea catfish, fresh or chilled"
034.1.5.3.04,1,034.1.5.3,33,0302.89,034.18,0429,"Lizardfish, fresh or chilled"
034.1.5.3.18,1,034.1.5.3,33,0302.89,034.18,0429,"Snook, fresh or chilled"
034.1.5.3.20,1,034.1.5.3,33,0302.89,034.18,0429,"Grouper, fresh or chilled"
034.1.5.3.22,1,034.1.5.3,33,0302.84,034.18,0429,"Seabass, fresh or chilled"
034.1.5.3.24,1,034.1.5.3,33,0302.89,034.18,0429,"Snapper, fresh or chilled"
034.1.5.3.26,1,034.1.5.3,33,0302.89,034.18,0429,"Fusiliers, fresh or chilled"
034.1.5.3.28,1,034.1.5.3,33,0302.89,034.18,0429,"Pony fishes, fresh or chilled"
034.1.5.3.30,1,034.1.5.3,33,0302.89,034.18,0429,"Grunt, fresh or chilled"
034.1.5.3.32,1,034.1.5.3,33,0302.89,034.18,0429,"Drum, fresh or chilled"
034.1.5.3.34,1,034.1.5.3,33,0302.89,034.18,0429,"Weakfish, fresh or chilled"
034.1.5.3.36,1,034.1.5.3,33,0302.89,034.18,0429,"Croakers, fresh or chilled"
034.1.5.3.38,1,034.1.5.3,33,0302.89,034.18,0429,"Corb, fresh or chilled"
034.1.5.3.40,1,034.1.5.3,33,0302.89,034.18,0429,"Emperors, fresh or chilled"
034.1.5.3.42,1,034.1.5.3,33,0302.89,034.18,0429,"Pandora, fresh or chilled"
034.1.5.3.44,1,034.1.5.3,33,0302.89,034.18,0429,"Dentex, fresh or chilled"
034.1.5.3.461,1,034.1.5.3,33,0302.85,034.18,0429,"Seabreams nei, fresh or chilled"
034.1.5.3.462,1,034.1.5.3,33,0302.85,034.18,0429,"Gilt-head seabream, fresh or chilled"
034.1.5.3.48,1,034.1.5.3,33,0302.89,034.18,0429,"Red mullet, fresh or chilled"
034.1.5.3.50,1,034.1.5.3,33,0302.89,034.18,0429,"Rockcod, fresh or chilled"
034.1.5.3.58,1,034.1.5.3,33,0302.89,034.18,0429,"Sandlance, fresh or chilled"
034.1.5.3.60,1,034.1.5.3,33,0302.89,034.18,0429,"Spinefeet (=rabbitfish), fresh or chilled"
034.1.5.3.66,1,034.1.5.3,33,0302.89,034.18,0429,"Atka mackerel, fresh or chilled"
034.1.5.3.70,1,034.1.5.3,33,0302.89,034.18,0429,"Filefish, fresh or chilled"
034.1.5.3.72,1,034.1.5.3,33,0302.89,034.18,0429,"Trigger fish, fresh or chilled"
034.1.5.3.74,1,034.1.5.3,33,0302.89,034.18,0429,"Puffer, fresh or chilled"
034.1.5.3.90,1,034.1.5.3,33,0302.89,034.18,0429,"Miscellaneous coastal fishes,nei, fresh or chilled"
034.1.5.4,0,034.1.5,34,0302.89,034.18,,"Miscellaneous demersal fish, fresh or chilled"
034.1.5.4.01,1,034.1.5.4,34,0302.89,034.18,0429,"Pike-conger, fresh or chilled"
034.1.5.4.02,1,034.1.5.4,34,0302.89,034.18,0429,"Conger, fresh or chilled"
034.1.5.4.03,1,034.1.5.4,34,0302.89,034.18,0429,"Snipefish, fresh or chilled"
034.1.5.4.05,1,034.1.5.4,34,0302.89,034.18,0429,"Orange roughy, fresh or chilled"
034.1.5.4.06,1,034.1.5.4,34,0302.89,034.18,0429,"John dory, fresh or chilled"
034.1.5.4.07,1,034.1.5.4,34,0302.89,034.18,0429,"Oreo dories, fresh or chilled"
034.1.5.4.08,1,034.1.5.4,34,0302.89,034.18,0429,"Icefish, fresh or chilled"
034.1.5.4.09,1,034.1.5.4,34,0302.89,034.18,0429,"Wolffish (=catfish), fresh or chilled"
034.1.5.4.11,1,034.1.5.4,34,0302.89,034.18,0429,"Cusk-eel (=kingklip), fresh or chilled"
034.1.5.4.12,1,034.1.5.4,34,0302.89,034.18,0429,"Snoek, fresh or chilled"
034.1.5.4.13,1,034.1.5.4,34,0302.89,034.18,0429,"Hairtails, fresh or chilled"
034.1.5.4.14,1,034.1.5.4,34,0302.89,034.18,0429,"Gurnard, fresh or chilled"
034.1.5.4.15,1,034.1.5.4,34,0302.89,034.18,0429,"Sablefish, fresh or chilled"
034.1.5.4.16,1,034.1.5.4,34,0302.89,034.18,0429,"Angler (=monk), fresh or chilled"
034.1.5.4.17,1,034.1.5.4,34,0302.83,034.18,0429,"Toothfish (Dissostichus spp.), fresh or chilled"
034.1.5.4.41,1,034.1.5.4,34,0302.89,034.18,0429,"Atlantic redfishes, fresh or chilled"
034.1.5.4.42,1,034.1.5.4,34,0302.89,034.18,0429,"Pacific redfishes (=ocean perch), fresh or chilled"
034.1.5.4.49,1,034.1.5.4,34,0302.89,034.18,0429,"Redfishes, fresh or chilled, nei"
034.1.5.4.90,1,034.1.5.4,34,0302.89,034.18,0429,"Miscellaneous demersal fish,nei, fresh or chilled"
034.1.5.5,0,034.1.5,35,0302.89,034.15,,"Herrings, sardines, anchovies, fresh or chilled"
034.1.5.5.11,1,034.1.5.5,35,0302.41,034.15,0426,"Atlantic herring, fresh or chilled"
034.1.5.5.12,1,034.1.5.5,35,0302.41,034.15,0426,"Pacific herring, fresh or chilled"
034.1.5.5.19,1,034.1.5.5,35,0302.41,034.15,0426,"Herrings, fresh or chilled, nei"
034.1.5.5.29,1,034.1.5.5,35,0302.43,034.15,0426,"Pilchards(Sardinops spp.) and Sardinellas, fresh or chilled"
034.1.5.5.40,1,034.1.5.5,35,0302.43,034.15,0426,"European sardine , fresh or chilled"
034.1.5.5.50,1,034.1.5.5,35,0302.43,034.15,0426,"Brisling or sprats, fresh or chilled"
034.1.5.5.60,1,034.1.5.5,35,0302.42,034.18,0426,"Anchovies, fresh or chilled"
034.1.5.5.70,1,034.1.5.5,35,0302.43,034.15,0426,"Sardines, sardinellas, brisling or sprats, fresh or chilled"
034.1.5.5.90,1,034.1.5.5,35,0302.89,034.15,0426,"Clupeoids, fresh or chilled, nei"
034.1.5.6,0,034.1.5,36,0302.39,034.14,,"Tunas, bonitos, billfishes, fresh or chilled"
034.1.5.6.15,1,034.1.5.6,36,0302.89,034.18,0426,"Plain bonito, fresh or chilled"
034.1.5.6.20,1,034.1.5.6,36,0302.33,034.14,0425,"Skipjack tuna, fresh or chilled"
034.1.5.6.30,1,034.1.5.6,36,0302.35,034.14,0425,"Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, fresh or chilled"
034.1.5.6.35,1,034.1.5.6,36,0302.36,034.14,0425,"Southern bluefin tuna(Thunnus maccoyii), fresh or chilled"
034.1.5.6.40,1,034.1.5.6,36,0302.31,034.14,0425,"Albacore (=Longfin tuna), fresh or chilled"
034.1.5.6.50,1,034.1.5.6,36,0302.32,034.14,0425,"Yellowfin tuna, fresh or chilled"
034.1.5.6.60,1,034.1.5.6,36,0302.34,034.14,0425,"Bigeye tuna, fresh or chilled"
034.1.5.6.71,1,034.1.5.6,36,0302.89,034.18,0426,"Marlins, fresh or chilled"
034.1.5.6.75,1,034.1.5.6,36,0302.89,034.18,0426,"Spanish mackerel, fresh or chilled"
034.1.5.6.80,1,034.1.5.6,36,0302.47,034.18,0426,"Swordfish, fresh or chilled"
034.1.5.6.90,1,034.1.5.6,36,0302.39,034.14,0425,"Tunas, fresh or chilled, nei"
034.1.5.6.95,1,034.1.5.6,36,0302.89,034.18,0426,"Tunas, bonitos, billfishes, fresh or chilled, nei"
034.1.5.6.96,1,034.1.5.6,36,0302.89,034.18,0426,"Euthynnus excl. skipjack or stripe-bellied bonitos, fresh or chilled"
034.1.5.7,0,034.1.5,37,0302.89,034.18,,"Miscellaneous pelagic fish, fresh or chilled"
034.1.5.7.01,1,034.1.5.7,37,0302.89,034.18,0426,"Capelin, fresh or chilled"
034.1.5.7.02,1,034.1.5.7,37,0302.89,034.18,0426,"Saury, fresh or chilled"
034.1.5.7.08,1,034.1.5.7,37,0302.89,034.18,0426,"Pomfrets, ocean breams, fresh or chilled"
034.1.5.7.15,1,034.1.5.7,37,0302.89,034.18,0426,"Scads, fresh or chilled"
034.1.5.7.40,1,034.1.5.7,37,0302.89,034.18,0426,"Flyingfishes, fresh or chilled"
034.1.5.7.45,1,034.1.5.7,37,0302.89,034.18,0426,"Dolphinfishes, fresh or chilled"
034.1.5.7.50,1,034.1.5.7,37,0302.46,034.18,0426,"Cobia, fresh or chilled"
034.1.5.7.61,1,034.1.5.7,37,0302.44,034.17,0426,"Chub mackerel, fresh or chilled"
034.1.5.7.62,1,034.1.5.7,37,0302.44,034.17,0426,"Atlantic mackerel, fresh or chilled"
034.1.5.7.63,1,034.1.5.7,37,0302.44,034.17,0426,"Blue mackerel, fresh or chilled"
034.1.5.7.69,1,034.1.5.7,37,0302.44,034.17,0426,"Mackerels, nei, fresh or chilled"
034.1.5.7.70,1,034.1.5.7,37,0302.45,034.18,0426,"Jack and horse mackerels, fresh or chilled"
034.1.5.7.75,1,034.1.5.7,37,0302.89,034.18,0426,"Amberjacks, fresh or chilled"
034.1.5.7.90,1,034.1.5.7,37,0302.89,034.18,0426,"Miscellaneous pelagic fish, nei, fresh or chilled"
034.1.5.8,0,034.1.5,38,0302.89,034.18,,"Sharks, rays, chimaeras, fresh or chilled"
034.1.5.8.60,1,034.1.5.8,38,0302.81,034.18,0429,"Dogfish (Squalidae), fresh or chilled"
034.1.5.8.65,1,034.1.5.8,38,0302.81,034.18,0429,"Catsharks, nursehounds, fresh or chilled"
034.1.5.8.66,1,034.1.5.8,38,0302.81,034.18,0429,"Porbeagle shark (Lamna nasus), fresh or chilled"
034.1.5.8.70,1,034.1.5.8,38,0302.81,034.18,0429,"Sharks nei, fresh or chilled"
034.1.5.8.80,1,034.1.5.8,38,0302.82,034.18,0429,"Rays and skates (Rajidae), fresh or chilled"
034.1.5.8.90,1,034.1.5.8,38,0302.89,034.18,0429,"Sharks, rays, skates, fresh or chilled, nei"
034.1.5.9,0,034.1.5,39,0302.89,034.18,,"Miscellaneous marine fish, fresh or chilled"
034.1.5.9.90,1,034.1.5.9,39,0302.89,034.18,0429,"Marine fish, fresh or chilled, nei"
034.1.6,0,034.1,X,0302.89,034.18,,"Fish, fresh or chilled"
034.1.6.90,1,034.1.6,39,0302.89,034.18,0429,"Fish, fresh or chilled, nei"
034.1.9,0,034.1,39,0302.89,034.19,,"Miscellaneous fish products, fresh or chilled"
034.1.9.1,0,034.1.9,39,0302.90,034.19,,"Fish livers, roes, etc., fresh or chilled"
034.1.9.1.10,1,034.1.9.1,39,0302.90,034.19,21225,"Fish livers, fresh or chilled"
034.1.9.1.20,1,034.1.9.1,39,0302.90,034.19,21225,"Fish roes, fresh or chilled"
034.1.9.1.90,1,034.1.9.1,39,0302.90,034.19,21225,"Livers, roes, milt, fresh or chilled, nei"
034.1.9.2,0,034.1.9,39,0302.89,034.18,,"Fish heads, tails, fins, maws, tongues, fresh or chilled"
034.1.9.2.10,1,034.1.9.2,39,0302.89,034.18,21234,"Fish heads, tails, maws, tongues, fresh or chilled"
034.1.9.2.30,1,034.1.9.2,38,0302.81,034.18,21234,"Shark fins, fresh or chilled"
034.2,0,034,39,0303.89,034.2,,"Fish, frozen (excluding fillets)"
034.2.3,0,034.2,13,0303.89,034.28,,"Freshwater fish, frozen"
034.2.3.1,0,034.2.3,11,0303.89,034.28,,"Carps, barbels and other cyprinids, frozen"
034.2.3.1.10,1,034.2.3.1,11,0303.25,034.28,21211,"Carps, frozen"
034.2.3.2,0,034.2.3,12,0303.23,034.28,,"Tilapias and other cichlids, frozen"
034.2.3.2.20,1,034.2.3.2,12,0303.23,034.28,21211,"Tilapias, frozen"
034.2.3.9,0,034.2.3,13,0303.89,034.28,,"Miscellaneous freshwater fish, frozen"
034.2.3.9.30,1,034.2.3.9,13,0303.24,034.28,21211,"Catfish, frozen"
034.2.3.9.50,1,034.2.3.9,13,0303.29,034.28,21211,"Nile perch, frozen"
034.2.3.9.55,1,034.2.3.9,13,0303.29,034.28,21211,"Nile perch (Lates niloticus) and snakeheads (Channa spp.), frozen"
034.2.3.9.90,1,034.2.3.9,13,0303.89,034.28,21211,"Freshwater fish nei, frozen"
034.2.4,0,034.2,25,0303.89,034.28,,"Diadromous fish, frozen"
034.2.4.2,0,034.2.4,22,0303.26,034.28,,"River eels, frozen"
034.2.4.2.10,1,034.2.4.2,22,0303.26,034.28,21219,"Eels, frozen"
034.2.4.3,0,034.2.4,23,0303.19,034.21,,"Salmons, trouts, smelts, frozen"
034.2.4.3.10,1,034.2.4.3,23,0303.19,034.21,21212,"Whitefishes, frozen"
034.2.4.3.20,1,034.2.4.3,23,0303.13,034.21,21212,"Atlantic salmon and Danube salmon, frozen"
034.2.4.3.31,1,034.2.4.3,23,0303.11,034.21,21212,"Sockeye salmon (red salmon)(Oncorhynchus nerka), frozen"
034.2.4.3.35,1,034.2.4.3,23,0303.12,034.21,21212,"Pacific salmons, frozen, nei"
034.2.4.3.39,1,034.2.4.3,23,0303.19,034.21,21212,"Salmons nei, frozen"
034.2.4.3.50,1,034.2.4.3,23,0303.14,034.21,21212,"Trouts and chars, frozen"
034.2.4.3.60,1,034.2.4.3,23,0303.19,034.21,21212,"Smelts, frozen"
034.2.4.3.90,1,034.2.4.3,23,0303.19,034.21,21212,"Salmonoids, frozen"
034.2.4.5,0,034.2.4,25,0303.89,034.28,,"Miscellaneous diadromous fish, frozen"
034.2.4.5.10,1,034.2.4.5,25,0303.89,034.28,21219,"Milkfish, frozen"
034.2.4.5.20,1,034.2.4.5,25,0303.89,034.28,21219,"Barramundi, frozen"
034.2.4.5.90,1,034.2.4.5,25,0303.89,034.28,21219,"Miscellaneous diadromous fish, nei, frozen"
034.2.5,0,034.2,39,0303.89,034.28,,"Marine fishes, frozen"
034.2.5.1,0,034.2.5,31,0303.39,034.22,,"Flounders, halibuts, soles, frozen"
034.2.5.1.11,1,034.2.5.1,31,0303.31,034.22,21213,"Atlantic halibut, frozen"
034.2.5.1.12,1,034.2.5.1,31,0303.31,034.22,21213,"Pacific halibut, frozen"
034.2.5.1.13,1,034.2.5.1,31,0303.31,034.22,21213,"Greenland halibut, frozen"
034.2.5.1.19,1,034.2.5.1,31,0303.31,034.22,21213,"Halibuts nei, frozen"
034.2.5.1.25,1,034.2.5.1,31,0303.39,034.22,21213,"Bastard halibut, frozen"
034.2.5.1.31,1,034.2.5.1,31,0303.32,034.22,21213,"European plaice, frozen"
034.2.5.1.32,1,034.2.5.1,31,0303.39,034.22,21213,"Alaska plaice, frozen"
034.2.5.1.33,1,034.2.5.1,31,0303.39,034.22,21213,"American plaice, frozen"
034.2.5.1.39,1,034.2.5.1,31,0303.39,034.22,21213,"Plaices, frozen, nei"
034.2.5.1.41,1,034.2.5.1,31,0303.39,034.22,21213,"Yellowfin sole, frozen"
034.2.5.1.42,1,034.2.5.1,31,0303.39,034.22,21213,"Yellowtail flounder, frozen"
034.2.5.1.43,1,034.2.5.1,31,0303.39,034.22,21213,"Common dab, frozen"
034.2.5.1.44,1,034.2.5.1,31,0303.39,034.22,21213,"Lemon sole, frozen"
034.2.5.1.45,1,034.2.5.1,31,0303.33,034.22,21213,"Common sole, frozen"
034.2.5.1.49,1,034.2.5.1,31,0303.33,034.22,21213,"Soles, frozen, nei"
034.2.5.1.50,1,034.2.5.1,31,0303.39,034.22,21213,"Flounder, frozen"
034.2.5.1.60,1,034.2.5.1,31,0303.39,034.22,21213,"Megrim, frozen"
034.2.5.1.70,1,034.2.5.1,31,0303.34,034.22,21213,"Turbots, frozen"
034.2.5.1.90,1,034.2.5.1,31,0303.39,034.22,21213,"Flatfish nei, frozen"
034.2.5.1.902,1,034.2.5.1,31,0303.39,034.22,21213,"Flatfish, dressed, frozen, nei"
034.2.5.2,0,034.2.5,32,0303.69,034.28,,"Cods, hakes, haddocks, frozen"
034.2.5.2.11,1,034.2.5.2,32,0303.63,034.25,21214,"Atlantic cod, frozen"
034.2.5.2.12,1,034.2.5.2,32,0303.63,034.25,21214,"Pacific cod, frozen"
034.2.5.2.13,1,034.2.5.2,32,0303.63,034.25,21214,"Greenland cod, frozen"
034.2.5.2.18,1,034.2.5.2,32,0303.69,034.28,21214,"Polar cod, frozen"
034.2.5.2.19,1,034.2.5.2,32,0303.63,034.25,21214,"Cods nei, frozen"
034.2.5.2.30,1,034.2.5.2,32,0303.64,034.28,21214,"Haddock, frozen"
034.2.5.2.40,1,034.2.5.2,32,0303.65,034.28,21214,"Saithe (=Pollock), frozen"
034.2.5.2.45,1,034.2.5.2,32,0303.67,034.28,21214,"Alaska pollock, frozen"
034.2.5.2.50,1,034.2.5.2,32,0303.68,034.28,21214,"Blue whitings (Micromesistius poutassou, Micromesistius australis), frozen"
034.2.5.2.51,1,034.2.5.2,32,0303.68,034.28,21214,"Blue whiting (Micromesistius poutassou), frozen"
034.2.5.2.52,1,034.2.5.2,32,0303.68,034.28,21214,"Southern blue whiting (Micromesistius australis), frozen"
034.2.5.2.53,1,034.2.5.2,32,0303.69,034.28,21214,"Whiting, frozen"
034.2.5.2.61,1,034.2.5.2,32,0303.66,034.27,21214,"European hake, frozen"
034.2.5.2.62,1,034.2.5.2,32,0303.66,034.27,21214,"South Pacific hake, frozen"
034.2.5.2.63,1,034.2.5.2,32,0303.66,034.27,21214,"Argentinian hake, frozen"
